,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),71.8
1,Population below age 15 years (%),32.3
2,"Sex ratio of the total population (females per 1,000 males)","1,000"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",914
4,Children under age 5 years whose birth was registered with the civil authority (%),96.4
5,Deaths in the last 3 years registered with the civil authority (%),73.1
6,Population living in households with electricity (%),92.5
7,Population living in households with an improved drinking-water source (%),96.7
8,Population living in households that use an improved sanitation facility(%),61.8
9,Households using clean fuel for cooking (%),40.7
10,Households using iodized salt (%),99.1
11,Households with any usual member covered under a health insurance/financing scheme (%),59.4
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),5.3
13,Women who are literate (%),69.5
14,Women with 10 or more years of schooling (%),20.4
15,Women age 20-24 years married before age 18 years (%),50.8
16,Births in the 5 years preceding the survey that are third or higher order (%),1.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),22.4
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),48.8
19,Any method (%),64.1
20,Any modern method (%),53.2
21,Female sterilization (%),1.8
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),1.3
24,Pill (%),44.2
25,Condom (%),5.1
26,Injectables (%),0.7
27,Total unmet need(%),11.5
28,Unmet need for spacing (%),4.0
29,Health worker ever talked to female non-users about family planning (%),22.6
30,Current users ever told about side effects of current method (%),76.7
31,Mothers who had an antenatal check-up in the first trimester (%),49.9
32,Mothers who had at least 4 antenatal care visits (%),37.6
33,Mothers whose last birth was protected against neonatal tetanus (%),97.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),47.6
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),14.6
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.2
37,delivery (%),48.4
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,691"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.8
40,delivery (%),54.5
41,Institutional births (%),64.2
42,Institutional births in public facility (%),61.8
43,Home births that were conducted by skilled health personnel (%),5.8
44,Births attended by skilled health personnel (%),68.9
45,Births delivered by caesarean section (%),6.9
46,Births in a private health facility that were delivered by caesarean section (%),*
47,Births in a public health facility that were delivered by caesarean section (%),8.0
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),71.6
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),69.5
50,Children age 12-23 months who have received BCG (%),90.5
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),77.3
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),82.7
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),84.0
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),31.8
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),47.4
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),81.4
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),50.6
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.9
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),9.8
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(69.5)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(22.9)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(43.6)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.7
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),39.7
66,Children under age 3 years breastfed within one hour of birth (%),57.9
67,Children under age 6 months exclusively breastfed (%),(66.4)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),6.6
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet  (%),7.4
72,Children under 5 years who are stunted (height-for-age) (%),48.5
73,Children under 5 years who are wasted (weight-for-height) (%),21.5
74,Children under 5 years who are severely wasted (weight-for-height) (%),6.7
75,Children under 5 years who are underweight (weight-for-age) (%),37.8
76,Children under 5 years who are overweight (weight-for-height) (%),6.0
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),22.2
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),12.4
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),68.1
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),73.1
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),63.0
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(69.7)
83,All women age 15-49 years who are anaemic (%),63.2
84,All women age 15-19 years who are anaemic (%),65.2
85,Blood sugar level - high (141-160 mg/dl)(%),4.6
86,Blood sugar level - very high (>160 mg/dl)(%),3.1
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.2
