Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),87.1
Population below age 15 years (%),23.8
"Sex ratio of the total population (females per 1,000 males)",989
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",915
Children under age 5 years whose birth was registered with the civil authority (%),97.1
Deaths in the last 3 years registered with the civil authority (%),57.9
Population living in households with electricity (%),97.0
Population living in households with an improved drinking-water source (%),92.7
Population living in households that use an improved sanitation facility(%),82.3
Households using clean fuel for cooking (%),45.5
Households using iodized salt (%),99.8
Households with any usual member covered under a health insurance/financing scheme (%),60.7
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),5.7
Women who are literate (%),86.6
Women with 10 or more years of schooling (%),47.1
Women age 20-24 years married before age 18 years (%),27.9
Births in the 5 years preceding the survey that are third or higher order (%),0.8
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),12.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),75.7
Any method (%),67.3
Any modern method (%),39.5
Female sterilization (%),12.4
Male sterilization (%),0.0
IUD/PPIUD (%),4.4
Pill (%),16.3
Condom (%),5.1
Injectables (%),0.3
Total unmet need(%),8.3
Unmet need for spacing (%),3.2
Health worker ever talked to female non-users about family planning (%),22.1
Current users ever told about side effects of current method (%),80.1
Mothers who had an antenatal check-up in the first trimester (%),85.1
Mothers who had at least 4 antenatal care visits (%),80.9
Mothers whose last birth was protected against neonatal tetanus (%),96.5
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),53.7
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),23.8
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),73.8
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,466"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),83.4
Institutional births (%),95.3
Institutional births in public facility (%),76.2
Home births that were conducted by skilled health personnel (%),0.4
Births attended by skilled health personnel (%),95.6
Births delivered by caesarean section (%),30.0
Births in a private health facility that were delivered by caesarean section (%),(75.3)
Births in a public health facility that were delivered by caesarean section (%),20.6
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(77.6)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(76.7)
Children age 12-23 months who have received BCG (%),(95.7)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(81.9)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(90.5)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(90.5)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(22.5)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(30.4)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(83.8)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),64.9
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(97.8)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(2.2)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.1
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.4
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),58.3
Children under age 3 years breastfed within one hour of birth (%),54.9
Children under age 6 months exclusively breastfed (%),*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),24.8
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet  (%),24.4
Children under 5 years who are stunted (height-for-age) (%),26.1
Children under 5 years who are wasted (weight-for-height) (%),21.1
Children under 5 years who are severely wasted (weight-for-height) (%),6.1
Children under 5 years who are underweight (weight-for-age) (%),25.9
Children under 5 years who are overweight (weight-for-height) (%),3.5
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),20.5
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),21.5
Women who have high risk waist-to-hip ratio (≥0.85) (%),60.4
