,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),73.8
1,Population below age 15 years (%),31.7
2,"Sex ratio of the total population (females per 1,000 males)",959
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,105"
4,Children under age 5 years whose birth was registered with the civil authority (%),95.4
5,Deaths in the last 3 years registered with the civil authority (%),43.5
6,Population living in households with electricity (%),94.7
7,Population living in households with an improved drinking-water source (%),44.7
8,Population living in households that use an improved sanitation facility(%),76.7
9,Households using clean fuel for cooking (%),17.7
10,Households using iodized salt (%),98.9
11,Households with any usual member covered under a health insurance/financing scheme (%),63.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.7
13,Women who are literate (%),73.9
14,Women with 10 or more years of schooling (%),21.7
15,Women age 20-24 years married before age 18 years (%),21.3
16,Births in the 5 years preceding the survey that are third or higher order (%),1.7
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.0
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),77.3
19,Any method (%),69.9
20,Any modern method (%),43.3
21,Female sterilization (%),7.8
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),3.9
24,Pill (%),26.8
25,Condom (%),4.4
26,Injectables (%),0.1
27,Total unmet need(%),7.1
28,Unmet need for spacing (%),3.2
29,Health worker ever talked to female non-users about family planning (%),23.0
30,Current users ever told about side effects of current method (%),80.5
31,Mothers who had an antenatal check-up in the first trimester (%),55.5
32,Mothers who had at least 4 antenatal care visits (%),46.7
33,Mothers whose last birth was protected against neonatal tetanus (%),87.6
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),39.9
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),10.6
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7
37,delivery (%),55.7
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,597"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.3
40,delivery (%),60.5
41,Institutional births (%),72.5
42,Institutional births in public facility (%),68.9
43,Home births that were conducted by skilled health personnel (%),12.0
44,Births attended by skilled health personnel (%),84.5
45,Births delivered by caesarean section (%),6.4
46,Births in a private health facility that were delivered by caesarean section (%),*
47,Births in a public health facility that were delivered by caesarean section (%),6.0
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),47.9
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),54.5
50,Children age 12-23 months who have received BCG (%),92.7
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),52.9
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),70.3
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),66.6
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),3.3
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),50.5
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),65.7
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),42.1
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.8
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.9
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),50.7
66,Children under age 3 years breastfed within one hour of birth (%),56.2
67,Children under age 6 months exclusively breastfed (%),(75.6)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),14.5
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet  (%),12.8
72,Children under 5 years who are stunted (height-for-age) (%),40.9
73,Children under 5 years who are wasted (weight-for-height) (%),23.2
74,Children under 5 years who are severely wasted (weight-for-height) (%),12.7
75,Children under 5 years who are underweight (weight-for-age) (%),31.1
76,Children under 5 years who are overweight (weight-for-height) (%),3.9
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),13.1
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),9.4
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),54.4
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79.0
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),58.8
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(38.8)
83,All women age 15-49 years who are anaemic (%),57.9
84,All women age 15-19 years who are anaemic (%),58.8
85,Blood sugar level - high (141-160 mg/dl)(%),6.0
86,Blood sugar level - very high (>160 mg/dl)(%),2.1
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.1
88,Blood sugar level - high (141-160 mg/dl)(%),8.6
89,Blood sugar level - very high (>160 mg/dl) (%),2.3
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.2
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.3
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.2
93,pressure (%),17.0
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.0
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.3
96,pressure (%),22.2
97,  Ever undergone a screening test for cervical cancer (%),0.0
98,  Ever undergone a breast examination for breast cancer (%),0.2
99,Ever undergone an oral cavity examination for oral cancer (%),0.0
100,Women age 15 years and above who use any kind of tobacco (%),20.2
101,Men age 15 years and above who use any kind of tobacco (%),58.2
102,Women age 15 years and above who consume alcohol (%),23.0
103,Men age 15 years and above who consume alcohol (%),54.2
