,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),81.5,75.9
2,Population below age 15 years (%),33.7,32.5
3,"Sex ratio of the total population (females per 1,000 males)","1,054",962
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",951,963
5,Children under age 5 years whose birth was registered with the civil authority (%),96.6,97.7
6,Deaths in the last 3 years registered with the civil authority (%),60.3,na
7,Population living in households with electricity (%),91.2,55.7
8,Population living in households with an improved drinking-water source (%),41.2,51.5
9,Population living in households that use an improved sanitation facility(%),60.0,36.1
10,Households using clean fuel for cooking (%),35.2,13.8
11,Households using iodized salt (%),97.6,99.8
12,Households with any usual member covered under a health insurance/financing scheme (%),53.6,8.8
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.5,na
15,Women who are literate (%),82.2,na
16,Women with 10 or more years of schooling (%),25.3,20.9
18,Women age 20-24 years married before age 18 years (%),32.9,22.9
19,Births in the 5 years preceding the survey that are third or higher order (%),1.7,2.1
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.4,11.2
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),56.1,25.4
23,Any method (%),66.8,54.2
24,Any modern method (%),49.5,34.0
25,Female sterilization (%),4.1,5.7
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),4.3,2.9
28,Pill (%),25.0,20.6
29,Condom (%),12.8,4.3
30,Injectables (%),2.2,0.0
32,Total unmet need(%),8.6,16.6
33,Unmet need for spacing (%),4.2,4.4
35,Health worker ever talked to female non-users about family planning (%),26.1,21.7
36,Current users ever told about side effects of current method (%),94.7,77.4
