,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),74.9
1,Population below age 15 years (%),26.6
2,"Sex ratio of the total population (females per 1,000 males)","1,027"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,325"
4,Children under age 5 years whose birth was registered with the civil authority (%),96.0
5,Deaths in the last 3 years registered with the civil authority (%),77.9
6,Population living in households with electricity (%),88.2
7,Population living in households with an improved drinking-water source (%),82.9
8,Population living in households that use an improved sanitation facility(%),72.2
9,Households using clean fuel for cooking (%),45.8
10,Households using iodized salt (%),99.4
11,Households with any usual member covered under a health insurance/financing scheme (%),66.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.6
13,Women who are literate (%),76.9
14,Women with 10 or more years of schooling (%),24.3
15,Women age 20-24 years married before age 18 years (%),24.0
16,Births in the 5 years preceding the survey that are third or higher order (%),0.3
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.5
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),63.4
19,Any method (%),74.4
20,Any modern method (%),58.9
21,Female sterilization (%),9.1
22,Male sterilization (%),0.1
23,IUD/PPIUD (%),1.7
24,Pill (%),41.9
25,Condom (%),5.3
26,Injectables (%),0.6
27,Total unmet need(%),5.8
28,Unmet need for spacing (%),2.0
29,Health worker ever talked to female non-users about family planning (%),20.5
30,Current users ever told about side effects of current method (%),72.0
31,Mothers who had an antenatal check-up in the first trimester (%),48.8
32,Mothers who had at least 4 antenatal care visits (%),45.5
33,Mothers whose last birth was protected against neonatal tetanus (%),99.2
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),56.4
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),16.9
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.5
37,delivery (%),63.5
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,123"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(4.8)
40,delivery (%),67.4
41,Institutional births (%),83.5
42,Institutional births in public facility (%),73.1
43,Home births that were conducted by skilled health personnel (%),1.3
44,Births attended by skilled health personnel (%),82.8
45,Births delivered by caesarean section (%),21.1
46,Births in a private health facility that were delivered by caesarean section (%),(73.4)
47,Births in a public health facility that were delivered by caesarean section (%),18.5
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),70.9
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(76.8)
50,Children age 12-23 months who have received BCG (%),90.4
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),76.5
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),76.8
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),80.4
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),21.5
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),62.4
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),75.0
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),58.7
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.3
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.4
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),42.6
66,Children under age 3 years breastfed within one hour of birth (%),49.8
67,Children under age 6 months exclusively breastfed (%),(65.6)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),4.4
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet  (%),4.3
72,Children under 5 years who are stunted (height-for-age) (%),36.7
73,Children under 5 years who are wasted (weight-for-height) (%),13.1
74,Children under 5 years who are severely wasted (weight-for-height) (%),4.5
75,Children under 5 years who are underweight (weight-for-age) (%),21.9
76,Children under 5 years who are overweight (weight-for-height) (%),3.2
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),21.4
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),13.1
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),68.8
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),69.4
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),64.3
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(47.3)
83,All women age 15-49 years who are anaemic (%),63.6
84,All women age 15-19 years who are anaemic (%),55.5
85,Blood sugar level - high (141-160 mg/dl)(%),5.1
86,Blood sugar level - very high (>160 mg/dl)(%),3.9
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.5
88,Blood sugar level - high (141-160 mg/dl)(%),5.9
89,Blood sugar level - very high (>160 mg/dl) (%),4.6
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.1
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.5
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.0
93,pressure (%),24.8
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.4
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.7
96,pressure (%),24.5
97,  Ever undergone a screening test for cervical cancer (%),0.4
98,  Ever undergone a breast examination for breast cancer (%),0.4
99,Ever undergone an oral cavity examination for oral cancer (%),0.2
100,Women age 15 years and above who use any kind of tobacco (%),23.3
101,Men age 15 years and above who use any kind of tobacco (%),59.1
102,Women age 15 years and above who consume alcohol (%),4.4
103,Men age 15 years and above who consume alcohol (%),28.9
