Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Female population age 6 years and above who ever attended school (%),87.9,76.5,78.2,75.0
Population below age 15 years (%),21.3,29.5,28.3,30.3
"Sex ratio of the total population (females per 1,000 males)",982,"1,017","1,012",993
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",916,970,964,929
Children under age 5 years whose birth was registered with the civil authority (%),97.0,96.2,96.3,94.2
Deaths in the last 3 years registered with the civil authority (%),80.5,62.8,65.5,na
Population living in households with electricity (%),99.0,91.5,92.6,78.3
Population living in households with an improved drinking-water source (%),92.3,85.0,86.0,84.2
Population living in households that use an improved sanitation facility(%),69.7,68.4,68.6,49.0
Households using clean fuel for cooking (%),85.5,33.7,42.1,25.1
Households using iodized salt (%),99.6,98.6,98.8,99.6
Households with any usual member covered under a health insurance/financing scheme (%),50.1,61.9,60.0,10.4
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),4.1,4.4,4.4,na
Women who are literate (%),87.5,75.4,77.2,na
Men who are literate (%),92.6,82.8,84.3,na
Women with 10 or more years of schooling (%),49.0,26.2,29.6,26.2
Men with 10 or more years of schooling (%),53.2,32.2,35.5,33.2
Women who have ever used the internet (%),49.0,24.4,28.2,na
Men who have ever used the internet (%),67.4,37.8,42.3,na
Women age 20-24 years married before age 18 years (%),22.3,33.4,31.8,30.8
Men age 25-29 years married before age 21 years (%),18.3,22.5,21.8,15.0
Total fertility rate (children per woman),1.5,1.9,1.9,2.2
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.8,12.5,11.7,13.6
Adolescent fertility rate for women age 15-19 years,41,64,61,72
Neonatal mortality rate (NNMR),15.2,23.4,22.5,32.8
Infant mortality rate (IMR),22.7,33.1,31.9,47.6
Under-five mortality rate (U5MR),33.0,39.9,39.1,56.5
Any method (%),61.4,60.7,60.8,52.4
Any modern method (%),42.3,45.8,45.3,37.0
Female sterilization (%),9.3,8.9,9.0,9.5
Male sterilization (%),0.1,0.1,0.1,0.1
IUD/PPIUD (%),3.4,2.9,2.9,2.2
Pill (%),21.2,28.6,27.5,22.0
Condom (%),7.6,4.4,4.9,2.7
Injectables (%),0.3,0.6,0.5,0.1
Total unmet need(%),9.9,11.1,11.0,14.2
Unmet need for spacing (%),3.1,4.3,4.1,5.8
Health worker ever talked to female non-users about family planning (%),18.0,22.1,21.4,17.2
Current users ever told about side effects of current method (%),67.4,70.3,70.0,55.3
Mothers who had an antenatal check-up in the first trimester (%),72.7,62.7,63.8,55.1
Mothers who had at least 4 antenatal care visits (%),62.6,49.2,50.7,46.4
Mothers whose last birth was protected against neonatal tetanus (%),96.2,94.3,94.5,89.8
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),54.4,46.6,47.5,32.0
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),22.6,18.0,18.5,5.6
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.9,98.7,98.7,96.3
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),76.8,63.8,65.3,54.0
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"6,651","5,269","5,415","3,821"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),2.8,1.9,2.0,1.9
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),80.7,68.5,69.9,na
Institutional births (%),93.5,82.9,84.1,70.6
Institutional births in public facility (%),66.3,75.4,74.4,60.0
Home births that were conducted by skilled health personnel (%),2.2,2.6,2.6,3.9
Births attended by skilled health personnel (%),94.9,85.1,86.1,74.3
Births delivered by caesarean section (%),39.2,15.6,18.1,13.4
Births in a private health facility that were delivered by caesarean section (%),78.8,66.9,70.6,53.3
Births in a public health facility that were delivered by caesarean section (%),26.7,13.9,15.2,12.9
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),63.2,66.9,66.4,47.1
Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),70.6,72.0,71.8,67.8
Children age 12-23 months who have received BCG (%),92.6,92.5,92.5,82.3
Children age 12-23 months who have received 3 doses of polio vaccine (%),69.3,74.0,73.4,56.0
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),79.7,82.0,81.7,66.5
Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),77.3,83.6,82.8,71.4
Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),12.5,20.3,19.4,na
