,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),76.4
1,Population below age 15 years (%),29.9
2,"Sex ratio of the total population (females per 1,000 males)",994
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",882
4,Children under age 5 years whose birth was registered with the civil authority (%),93.0
5,Deaths in the last 3 years registered with the civil authority (%),60.7
6,Population living in households with electricity (%),97.0
7,Population living in households with an improved drinking-water source (%),79.6
8,Population living in households that use an improved sanitation facility(%),75.2
9,Households using clean fuel for cooking (%),33.4
10,Households using iodized salt (%),99.8
11,Households with any usual member covered under a health insurance/financing scheme (%),54.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),1.6
13,Women who are literate (%),78.8
14,Women with 10 or more years of schooling (%),30.3
15,Women age 20-24 years married before age 18 years (%),26.1
16,Births in the 5 years preceding the survey that are third or higher order (%),0.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.1
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),77.6
19,Any method (%),66.3
20,Any modern method (%),41.1
21,Female sterilization (%),9.3
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),6.2
24,Pill (%),23.6
25,Condom (%),1.8
26,Injectables (%),0.0
27,Total unmet need(%),9.3
28,Unmet need for spacing (%),2.4
29,Health worker ever talked to female non-users about family planning (%),23.6
30,Current users ever told about side effects of current method (%),74.6
31,Mothers who had an antenatal check-up in the first trimester (%),64.8
32,Mothers who had at least 4 antenatal care visits (%),63.9
33,Mothers whose last birth was protected against neonatal tetanus (%),90.9
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),35.3
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),9.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.4
37,delivery (%),56.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"6,822"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.4
40,delivery (%),61.0
41,Institutional births (%),74.9
42,Institutional births in public facility (%),69.2
43,Home births that were conducted by skilled health personnel (%),3.4
44,Births attended by skilled health personnel (%),78.3
45,Births delivered by caesarean section (%),15.2
46,Births in a private health facility that were delivered by caesarean section (%),*
47,Births in a public health facility that were delivered by caesarean section (%),16.4
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),64.3
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(74.3)
50,Children age 12-23 months who have received BCG (%),88.7
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),65.9
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),75.3
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),76.2
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),4.9
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),42.9
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),66.9
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),44.9
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),91.4
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.6
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.2
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.2
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(55.3)
66,Children under age 3 years breastfed within one hour of birth (%),50.3
67,Children under age 6 months exclusively breastfed (%),(55.2)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),20.5
