,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),75.0
1,Population below age 15 years (%),25.8
2,"Sex ratio of the total population (females per 1,000 males)","1,027"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,040"
4,Children under age 5 years whose birth was registered with the civil authority (%),94.4
5,Deaths in the last 3 years registered with the civil authority (%),50.6
6,Population living in households with electricity (%),91.7
7,Population living in households with an improved drinking-water source (%),96.4
8,Population living in households that use an improved sanitation facility(%),75.9
9,Households using clean fuel for cooking (%),27.3
10,Households using iodized salt (%),99.7
11,Households with any usual member covered under a health insurance/financing scheme (%),64.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),1.7
13,Women who are literate (%),71.9
14,Women with 10 or more years of schooling (%),26.2
15,Women age 20-24 years married before age 18 years (%),22.6
16,Births in the 5 years preceding the survey that are third or higher order (%),0.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.8
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),68.7
19,Any method (%),67.0
20,Any modern method (%),43.9
21,Female sterilization (%),20.1
22,Male sterilization (%),0.1
23,IUD/PPIUD (%),4.0
24,Pill (%),14.4
25,Condom (%),4.4
26,Injectables (%),0.1
27,Total unmet need(%),8.3
28,Unmet need for spacing (%),3.7
29,Health worker ever talked to female non-users about family planning (%),22.0
30,Current users ever told about side effects of current method (%),69.5
31,Mothers who had an antenatal check-up in the first trimester (%),74.1
32,Mothers who had at least 4 antenatal care visits (%),64.5
33,Mothers whose last birth was protected against neonatal tetanus (%),95.9
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),51.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),19.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7
37,delivery (%),70.5
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,858"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(7.0)
40,delivery (%),72.8
41,Institutional births (%),88.2
42,Institutional births in public facility (%),76.7
43,Home births that were conducted by skilled health personnel (%),2.2
44,Births attended by skilled health personnel (%),90.5
45,Births delivered by caesarean section (%),20.0
46,Births in a private health facility that were delivered by caesarean section (%),(62.5)
47,Births in a public health facility that were delivered by caesarean section (%),16.7
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(74.0)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(81.5)
50,Children age 12-23 months who have received BCG (%),(96.2)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(82.0)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(90.1)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(90.0)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(27.8)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(35.9)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(79.6)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),58.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(87.7)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(7.6)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),9.8
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(68.6)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(11.8)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(72.7)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.2
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),58.7
66,Children under age 3 years breastfed within one hour of birth (%),58.3
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),10.5
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet  (%),9.9
72,Children under 5 years who are stunted (height-for-age) (%),39.0
73,Children under 5 years who are wasted (weight-for-height) (%),23.5
74,Children under 5 years who are severely wasted (weight-for-height) (%),7.3
75,Children under 5 years who are underweight (weight-for-age) (%),34.8
76,Children under 5 years who are overweight (weight-for-height) (%),4.0
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),24.7
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),10.3
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),53.5
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),69.7
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),72.6
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(61.6)
83,All women age 15-49 years who are anaemic (%),72.3
84,All women age 15-19 years who are anaemic (%),76.1
85,Blood sugar level - high (141-160 mg/dl)(%),7.1
86,Blood sugar level - very high (>160 mg/dl)(%),4.1
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.9
88,Blood sugar level - high (141-160 mg/dl)(%),8.8
89,Blood sugar level - very high (>160 mg/dl) (%),5.0
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.9
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.3
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.2
93,pressure (%),18.2
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.6
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.0
96,pressure (%),17.9
97,  Ever undergone a screening test for cervical cancer (%),0.2
98,  Ever undergone a breast examination for breast cancer (%),0.0
99,Ever undergone an oral cavity examination for oral cancer (%),0.0
100,Women age 15 years and above who use any kind of tobacco (%),25.4
101,Men age 15 years and above who use any kind of tobacco (%),57.9
102,Women age 15 years and above who consume alcohol (%),17.7
103,Men age 15 years and above who consume alcohol (%),50.4
