,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),80.5,78.0
1,Population below age 15 years (%),30.9,30.1
2,"Sex ratio of the total population (females per 1,000 males)","1,012",992
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",991,942
4,Children under age 5 years whose birth was registered with the civil authority (%),96.0,93.5
5,Deaths in the last 3 years registered with the civil authority (%),72.4,na
6,Population living in households with electricity (%),81.7,66.4
7,Population living in households with an improved drinking-water source (%),43.8,59.7
8,Population living in households that use an improved sanitation facility(%),57.6,37.6
9,Households using clean fuel for cooking (%),43.0,28.8
10,Households using iodized salt (%),98.6,99.9
11,Households with any usual member covered under a health insurance/financing scheme (%),57.9,3.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.7,na
13,Women who are literate (%),77.2,na
14,Women with 10 or more years of schooling (%),25.8,28.2
15,Women age 20-24 years married before age 18 years (%),29.9,16.9
16,Births in the 5 years preceding the survey that are third or higher order (%),1.0,2.5
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),8.5,10.1
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),57.8,28.1
19,Any method (%),48.0,54.4
20,Any modern method (%),38.2,29.1
21,Female sterilization (%),6.9,14.0
22,Male sterilization (%),0.1,0.2
23,IUD/PPIUD (%),1.0,2.0
24,Pill (%),22.9,7.0
25,Condom (%),6.1,5.2
26,Injectables (%),0.6,0.0
27,Total unmet need(%),15.6,12.9
28,Unmet need for spacing (%),6.9,8.0
29,Health worker ever talked to female non-users about family planning (%),23.6,23.8
30,Current users ever told about side effects of current method (%),82.2,78.5
31,Mothers who had an antenatal check-up in the first trimester (%),52.0,37.3
32,Mothers who had at least 4 antenatal care visits (%),32.7,50.9
33,Mothers whose last birth was protected against neonatal tetanus (%),90.0,88.5
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),35.6,18.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),12.0,3.9
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.2,96.7
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),57.3,62.8
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,799","5,087"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.8,1.5
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),61.4,na
41,Institutional births (%),79.2,70.7
42,Institutional births in public facility (%),74.9,56.4
43,Home births that were conducted by skilled health personnel (%),2.1,5.1
44,Births attended by skilled health personnel (%),80.2,75.3
45,Births delivered by caesarean section (%),12.5,14.9
46,Births in a private health facility that were delivered by caesarean section (%),*,47.9
47,Births in a public health facility that were delivered by caesarean section (%),13.2,14.2
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),70.4,45.4
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),82.1,(53.2)
50,Children age 12-23 months who have received BCG (%),88.3,82.2
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),74.4,57.7
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),82.5,71.9
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),76.9,68.7
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),9.2,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),39.9,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),63.8,60.5
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),67.9,64.3
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.6,91.0
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,7.3
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.2,6.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.1,2.0
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),50.4,46.3
66,Children under age 3 years breastfed within one hour of birth (%),29.8,31.2
67,Children under age 6 months exclusively breastfed (%),(50.8),(28.6)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),2.9,2.3
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),2.7,2.1
72,Children under 5 years who are stunted (height-for-age) (%),28.7,36.3
73,Children under 5 years who are wasted (weight-for-height) (%),30.7,30.6
74,Children under 5 years who are severely wasted (weight-for-height) (%),12.5,11.3
75,Children under 5 years who are underweight (weight-for-age) (%),38.2,36.3
76,Children under 5 years who are overweight (weight-for-height) (%),3.3,4.0
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),19.7,31.5
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),9.1,7.7
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),79.1,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),61.8,30.9
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),58.2,50.4
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),44.0,(66.1)
83,All women age 15-49 years who are anaemic (%),57.4,51.0
84,All women age 15-19 years who are anaemic (%),57.6,51.5
85,Women - Blood sugar level - high (141-160 mg/dl)(%),6.4,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),6.1,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.1,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),7.3,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),4.5,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.4,na
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.7,na
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.7,na
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),17.0,na
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.1,na
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.9,na
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),15.4,na
97,Ever undergone a screening test for cervical cancer (%),0.2,na
98,Ever undergone a breast examination for breast cancer (%),0.0,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.2,na
100,Women age 15 years and above who use any kind of tobacco (%),33.2,na
101,Men age 15 years and above who use any kind of tobacco (%),51.0,na
102,Women age 15 years and above who consume alcohol (%),2.5,na
103,Men age 15 years and above who consume alcohol (%),14.6,na
