,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),74.1,71.9
2,Population below age 15 years (%),26.5,28.3
3,"Sex ratio of the total population (females per 1,000 males)","1,057","1,046"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,097",968
5,Children under age 5 years whose birth was registered with the civil authority (%),97.9,97.3
6,Deaths in the last 3 years registered with the civil authority (%),50.1,na
7,Population living in households with electricity (%),98.1,83.6
8,Population living in households with an improved drinking-water source (%),89.8,83.3
9,Population living in households that use an improved sanitation facility(%),68.9,57.6
10,Households using clean fuel for cooking (%),35.2,16.6
11,Households using iodized salt (%),98.9,99.2
12,Households with any usual member covered under a health insurance/financing scheme (%),69.0,3.7
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.3,na
15,Women who are literate (%),74.8,na
16,Women with 10 or more years of schooling (%),27.8,28.1
18,Women age 20-24 years married before age 18 years (%),24.9,27.4
19,Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.8
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),12.3,11.1
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),67.0,40.5
23,Any method (%),59.2,58.1
24,Any modern method (%),47.3,38.5
25,Female sterilization (%),7.1,8.0
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),3.3,4.0
28,Pill (%),33.5,24.4
29,Condom (%),2.7,1.5
30,Injectables (%),0.0,0.0
32,Total unmet need(%),12.5,12.4
33,Unmet need for spacing (%),5.7,6.8
35,Health worker ever talked to female non-users about family planning (%),24.8,22.8
36,Current users ever told about side effects of current method (%),76.2,78.4
38,Mothers who had an antenatal check-up in the first trimester (%),61.1,60.6
39,Mothers who had at least 4 antenatal care visits (%),56.0,49.8
40,Mothers whose last birth was protected against neonatal tetanus (%),95.0,92.6
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),56.2,39.7
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),30.2,0.8
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.8,99.1
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),65.0,70.1
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"7,312","3,614"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(3.4),(7.7)
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),70.9,na
51,Institutional births (%),89.9,87.8
52,Institutional births in public facility (%),82.2,77.5
53,Home births that were conducted by skilled health personnel (%),4.6,1.5
54,Births attended by skilled health personnel (%),92.1,89.3
55,Births delivered by caesarean section (%),17.6,18.7
56,Births in a private health facility that were delivered by caesarean section (%),(81.7),(82.6)
57,Births in a public health facility that were delivered by caesarean section (%),13.8,13.2
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),70.5,59.1
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),67.3,(64.9)
62,Children age 12-23 months who have received BCG (%),93.6,91.6
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),78.3,64.8
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.2,82.6
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),91.9,81.3
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),26.6,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),53.8,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),68.3,60.2
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),55.8,60.0
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,97.2
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,2.8
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.8,2.7
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.8,1.3
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),59.0,(42.2)
81,Children under age 3 years breastfed within one hour of birth (%),34.9,74.3
82,Children under age 6 months exclusively breastfed (%),(60.6),(62.9)
83,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(69.4),*
84,Breastfeeding children age 6-23 months receiving an adequate diet  (%),12.6,12.8
85,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
86,Total children age 6-23 months receiving an adequate diet  (%),14.0,12.6
87,Children under 5 years who are stunted (height-for-age) (%),41.2,32.4
88,Children under 5 years who are wasted (weight-for-height) (%),17.0,10.5
89,Children under 5 years who are severely wasted (weight-for-height) (%),6.2,2.7
90,Children under 5 years who are underweight (weight-for-age) (%),34.0,22.4
91,Children under 5 years who are overweight (weight-for-height) (%),8.6,2.3
93,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),15.1,17.8
94,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),18.8,15.2
95,Women who have high risk waist-to-hip ratio (≥0.85) (%),66.9,na
97,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),78.6,39.0
98,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),73.8,53.6
99,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(65.3),(46.8)
100,All women age 15-49 years who are anaemic (%),73.6,53.4
101,All women age 15-19 years who are anaemic (%),76.6,48.3
104,Women - Blood sugar level - high (141-160 mg/dl)(%),8.7,na
105,Women - Blood sugar level - very high (>160 mg/dl)(%),4.0,na
106,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.4,na
108,Men - Blood sugar level - high (141-160 mg/dl)(%),9.4,na
109,Men - Blood sugar level - very high (>160 mg/dl) (%),6.3,na
110,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.1,na
113,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.0,na
114,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.2,na
116,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),24.5,na
118,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.8,na
119,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.3,na
121,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.0,na
123,Ever undergone a screening test for cervical cancer (%),0.3,na
124,Ever undergone a breast examination for breast cancer (%),0.3,na
125,Ever undergone an oral cavity examination for oral cancer (%),0.0,na
127,Women age 15 years and above who use any kind of tobacco (%),14.9,na
128,Men age 15 years and above who use any kind of tobacco (%),57.6,na
129,Women age 15 years and above who consume alcohol (%),11.9,na
130,Men age 15 years and above who consume alcohol (%),33.4,na
