Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),78.9,74.3
Population below age 15 years (%),23.5,25.8
"Sex ratio of the total population (females per 1,000 males)",844,830
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",906,855
Children under age 5 years whose birth was registered with the civil authority (%),96.7,97.7
Deaths in the last 3 years registered with the civil authority (%),92.1,na
Population living in households with electricity (%),99.3,99.6
Population living in households with an improved drinking-water source (%),97.2,99.7
Population living in households that use an improved sanitation facility(%),86.7,82.5
Households using clean fuel for cooking (%),69.9,48.4
Households using iodized salt (%),96.6,97.8
Households with any usual member covered under a health insurance/financing scheme (%),22.4,9.4
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.4,na
Women who are literate (%),87.3,na
Women with 10 or more years of schooling (%),56.8,54.4
Women age 20-24 years married before age 18 years (%),15.5,21.0
Births in the 5 years preceding the survey that are third or higher order (%),3.2,1.6
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.9,6.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),97.5,85.9
Any method (%),78.7,77.8
Any modern method (%),59.9,67.8
Female sterilization (%),30.0,47.9
Male sterilization (%),1.0,0.0
IUD/PPIUD (%),6.7,6.7
Pill (%),3.7,4.6
Condom (%),18.0,8.5
Injectables (%),0.2,0.1
Total unmet need(%),4.8,5.4
Unmet need for spacing (%),1.4,2.2
Health worker ever talked to female non-users about family planning (%),20.3,27.5
Current users ever told about side effects of current method (%),58.6,76.2
Mothers who had an antenatal check-up in the first trimester (%),85.8,72.9
Mothers who had at least 4 antenatal care visits (%),64.1,38.7
Mothers whose last birth was protected against neonatal tetanus (%),90.6,97.6
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),48.9,29.9
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),32.2,14.4
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.4,96.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),94.5,75.0
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,533","2,736"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(0.0)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),92.5,na
Institutional births (%),99.7,83.7
Institutional births in public facility (%),62.4,54.5
Home births that were conducted by skilled health personnel (%),0.0,6.9
Births attended by skilled health personnel (%),90.2,84.1
Births delivered by caesarean section (%),16.7,10.8
Births in a private health facility that were delivered by caesarean section (%),30.8,19.0
Births in a public health facility that were delivered by caesarean section (%),8.3,9.7
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),(83.0),64.1
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(77.4),74.7
Children age 12-23 months who have received BCG (%),(92.4),96.6
Children age 12-23 months who have received 3 doses of polio vaccine (%),(83.0),78.7
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(90.1),79.2
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(90.1),88.7
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(31.1),na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(83.0),na
