,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),70.0,70.0
2,Population below age 15 years (%),22.3,23.6
3,"Sex ratio of the total population (females per 1,000 males)",936,876
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",962,698
5,Children under age 5 years whose birth was registered with the civil authority (%),96.2,96.7
6,Deaths in the last 3 years registered with the civil authority (%),84.3,na
7,Population living in households with electricity (%),99.6,98.8
8,Population living in households with an improved drinking-water source (%),99.7,99.5
9,Population living in households that use an improved sanitation facility(%),79.8,74.9
10,Households using clean fuel for cooking (%),34.2,32.9
11,Households using iodized salt (%),97.4,89.9
12,Households with any usual member covered under a health insurance/financing scheme (%),25.6,10.4
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),7.0,na
15,Women who are literate (%),81.1,na
16,Women with 10 or more years of schooling (%),52.4,49.6
18,Women age 20-24 years married before age 18 years (%),13.4,18.7
19,Births in the 5 years preceding the survey that are third or higher order (%),0.4,2.7
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.6,4.5
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),95.7,76.3
23,Any method (%),70.2,70.8
24,Any modern method (%),63.2,64.6
25,Female sterilization (%),45.9,46.1
26,Male sterilization (%),0.4,0.9
27,IUD/PPIUD (%),3.3,4.3
28,Pill (%),3.2,3.1
29,Condom (%),9.8,9.8
30,Injectables (%),0.2,0.2
32,Total unmet need(%),9.3,7.5
33,Unmet need for spacing (%),5.3,3.6
35,Health worker ever talked to female non-users about family planning (%),36.9,24.9
36,Current users ever told about side effects of current method (%),64.5,66.9
39,Mothers who had an antenatal check-up in the first trimester (%),88.1,74.1
40,Mothers who had at least 4 antenatal care visits (%),55.2,44.3
41,Mothers whose last birth was protected against neonatal tetanus (%),89.4,95.0
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),48.5,35.6
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),28.4,15.7
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.5,95.7
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.0,76.8
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,497","1,094"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.4,na
52,Institutional births (%),98.9,96.8
53,Institutional births in public facility (%),65.3,75.9
54,Home births that were conducted by skilled health personnel (%),0.7,2.2
55,Births attended by skilled health personnel (%),98.9,98.4
56,Births delivered by caesarean section (%),22.6,12.3
57,Births in a private health facility that were delivered by caesarean section (%),36.5,33.4
58,Births in a public health facility that were delivered by caesarean section (%),15.9,7.1
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),73.9,73.0
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(70.1),84.0
63,Children age 12-23 months who have received BCG (%),94.3,100.0
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),76.0,84.5
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),86.4,90.1
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),87.6,90.9
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),30.0,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),82.5,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),84.2,63.8
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),62.5,87.3
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(97.8),95.0
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(2.2),5.0
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.7,9.4
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(68.0)
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(23.8)
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(67.9)
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.8,2.4
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,75.8
