Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),69.6
Population below age 15 years (%),23.4
"Sex ratio of the total population (females per 1,000 males)",964
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,007"
Children under age 5 years whose birth was registered with the civil authority (%),92.2
Deaths in the last 3 years registered with the civil authority (%),93.9
Population living in households with electricity (%),99.5
Population living in households with an improved drinking-water source (%),97.3
Population living in households that use an improved sanitation facility(%),90.4
Households using clean fuel for cooking (%),36.2
Households using iodized salt (%),95.5
Households with any usual member covered under a health insurance/financing scheme (%),29.7
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),11.6
Women who are literate (%),83.6
Women with 10 or more years of schooling (%),54.5
Women age 20-24 years married before age 18 years (%),11.8
Births in the 5 years preceding the survey that are third or higher order (%),1.7
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.1
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.3
Any method (%),69.4
Any modern method (%),61.3
Female sterilization (%),42.6
Male sterilization (%),0.6
IUD/PPIUD (%),4.0
Pill (%),1.6
Condom (%),11.8
Injectables (%),0.0
Total unmet need(%),11.1
Unmet need for spacing (%),5.2
Health worker ever talked to female non-users about family planning (%),30.6
Current users ever told about side effects of current method (%),65.6
Mothers who had an antenatal check-up in the first trimester (%),82.6
Mothers who had at least 4 antenatal care visits (%),53.4
Mothers whose last birth was protected against neonatal tetanus (%),87.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),48.9
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),30.9
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.3
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),93.9
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,607"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),91.9
Institutional births (%),98.9
Institutional births in public facility (%),55.9
Home births that were conducted by skilled health personnel (%),0.7
Births attended by skilled health personnel (%),99.7
Births delivered by caesarean section (%),14.2
Births in a private health facility that were delivered by caesarean section (%),18.1
Births in a public health facility that were delivered by caesarean section (%),11.5
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),84.2
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(89.3)
Children age 12-23 months who have received BCG (%),92.4
Children age 12-23 months who have received 3 doses of polio vaccine (%),86.1
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),92.6
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),94.8
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),34.6
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),85.1
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),92.6
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),68.3
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.1
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.3
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*
Children under age 3 years breastfed within one hour of birth (%),55.3
Children under age 6 months exclusively breastfed (%),(63.0)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),13.1
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),11.5
Children under 5 years who are stunted (height-for-age) (%),23.9
Children under 5 years who are wasted (weight-for-height) (%),10.6
Children under 5 years who are severely wasted (weight-for-height) (%),2.6
Children under 5 years who are underweight (weight-for-age) (%),16.9
Children under 5 years who are overweight (weight-for-height) (%),1.8
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),17.0
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),28.8
Women who have high risk waist-to-hip ratio (≥0.85) (%),57.0
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),67.2
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),73.1
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(62.4)
All women age 15-49 years who are anaemic (%),72.6
All women age 15-19 years who are anaemic (%),71.1
