,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),79.6,71.4
1,Population below age 15 years (%),23.7,28.4
2,"Sex ratio of the total population (females per 1,000 males)",942,916
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",880,930
4,Children under age 5 years whose birth was registered with the civil authority (%),97.0,95.6
5,Deaths in the last 3 years registered with the civil authority (%),88.8,na
6,Population living in households with electricity (%),99.7,99.4
7,Population living in households with an improved drinking-water source (%),98.5,99.2
8,Population living in households that use an improved sanitation facility(%),90.0,78.4
9,Households using clean fuel for cooking (%),67.3,45.8
10,Households using iodized salt (%),95.0,98.6
11,Households with any usual member covered under a health insurance/financing scheme (%),24.8,9.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),5.1,na
13,Women who are literate (%),85.8,na
14,Women with 10 or more years of schooling (%),55.9,46.7
15,Women age 20-24 years married before age 18 years (%),12.4,22.7
16,Births in the 5 years preceding the survey that are third or higher order (%),1.9,4.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.7,10.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),98.3,76.1
19,Any method (%),74.4,69.7
20,Any modern method (%),63.0,63.7
21,Female sterilization (%),34.2,36.7
22,Male sterilization (%),0.4,1.7
23,IUD/PPIUD (%),7.8,8.4
24,Pill (%),2.8,4.4
25,Condom (%),16.0,12.2
26,Injectables (%),0.0,0.2
27,Total unmet need(%),8.5,7.2
28,Unmet need for spacing (%),3.7,3.4
29,Health worker ever talked to female non-users about family planning (%),19.5,23.9
30,Current users ever told about side effects of current method (%),71.0,61.0
31,Mothers who had an antenatal check-up in the first trimester (%),86.4,73.2
32,Mothers who had at least 4 antenatal care visits (%),72.3,48.4
33,Mothers whose last birth was protected against neonatal tetanus (%),96.9,96.3
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),56.4,27.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),34.5,14.5
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.8,80.5
37,days of delivery (%),96.2,76.5
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,957","2,094"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(0.0)
40,days of delivery (%),96.1,na
41,Institutional births (%),97.4,86.3
42,Institutional births in public facility (%),62.1,66.3
43,Home births that were conducted by skilled health personnel (%),0.0,3.4
44,Births attended by skilled health personnel (%),96.7,89.1
45,Births delivered by caesarean section (%),19.9,10.6
46,Births in a private health facility that were delivered by caesarean section (%),37.1,24.6
47,Births in a public health facility that were delivered by caesarean section (%),10.8,8.6
48,mother's recall (%),77.4,64.1
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),88.1,68.8
50,Children age 12-23 months who have received BCG (%),88.2,99.0
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),84.7,77.4
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),84.4,81.2
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),83.1,85.6
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),22.1,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),78.1,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),84.5,37.0
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),71.4,70.3
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.5,99.2
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),3.5,0.8
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.8,5.3
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.9,1.9
65,health provider (%),*,(96.0)
66,Children under age 3 years breastfed within one hour of birth (%),49.2,51.7
67,Children under age 6 months exclusively breastfed (%),(93.8),(69.5)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),7.1,4.4
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet (%),6.0,5.6
72,Children under 5 years who are stunted (height-for-age) (%),28.9,36.6
73,Children under 5 years who are wasted (weight-for-height) (%),12.5,13.6
74,Children under 5 years who are severely wasted (weight-for-height) (%),2.9,4.5
75,Children under 5 years who are underweight (weight-for-age) (%),22.1,25.2
76,Children under 5 years who are overweight (weight-for-height) (%),4.1,2.7
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),15.9,16.1
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),35.9,21.6
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),58.6,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),76.2,76.3
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),64.8,57.8
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(77.1),58.7
83,All women age 15-49 years who are anaemic (%),65.3,57.8
84,All women age 15-19 years who are anaemic (%),63.1,52.3
85,Blood sugar level - high (141-160 mg/dl)(%),6.6,na
86,Blood sugar level - very high (>160 mg/dl)(%),5.8,na
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.3,na
88,Blood sugar level - high (141-160 mg/dl)(%),7.0,na
89,Blood sugar level - very high (>160 mg/dl) (%),6.6,na
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.8,na
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.6,na
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.6,na
93,blood pressure (%),20.7,na
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.8,na
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.5,na
96,blood pressure (%),24.5,na
97,Ever undergone a screening test for cervical cancer (%),0.4,na
98,Ever undergone a breast examination for breast cancer (%),0.2,na
99,Ever undergone an oral cavity examination for oral cancer (%),1.1,na
100,Women age 15 years and above who use any kind of tobacco (%),2.8,na
101,Men age 15 years and above who use any kind of tobacco (%),30.5,na
102,Women age 15 years and above who consume alcohol (%),0.3,na
103,Men age 15 years and above who consume alcohol (%),17.6,na
