,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),81.7
1,Population below age 15 years (%),30.3
2,"Sex ratio of the total population (females per 1,000 males)",995
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,036"
4,Children under age 5 years whose birth was registered with the civil authority (%),87.7
5,Deaths in the last 3 years registered with the civil authority (%),71.4
6,Population living in households with electricity (%),95.5
7,Population living in households with an improved drinking-water source (%),58.6
8,Population living in households that use an improved sanitation facility(%),71.4
9,Households using clean fuel for cooking (%),33.9
10,Households using iodized salt (%),74.5
11,Households with any usual member covered under a health insurance/financing scheme (%),75.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),7.8
13,Women who are literate (%),82.6
14,Women with 10 or more years of schooling (%),33.0
15,Women age 20-24 years married before age 18 years (%),15.3
16,Births in the 5 years preceding the survey that are third or higher order (%),0.3
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.3
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),66.8
19,Any method (%),36.7
20,Any modern method (%),32.3
21,Female sterilization (%),3.5
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),5.5
24,Pill (%),14.9
25,Condom (%),6.2
26,Injectables (%),1.0
27,Total unmet need(%),30.4
28,Unmet need for spacing (%),16.7
29,Health worker ever talked to female non-users about family planning (%),24.2
30,Current users ever told about side effects of current method (%),82.9
31,Mothers who had an antenatal check-up in the first trimester (%),57.0
32,Mothers who had at least 4 antenatal care visits (%),28.5
33,Mothers whose last birth was protected against neonatal tetanus (%),80.7
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),28.3
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),11.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.0
37,delivery (%),60.6
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,666"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(3.7)
40,delivery (%),55.1
41,Institutional births (%),83.7
42,Institutional births in public facility (%),83.7
43,Home births that were conducted by skilled health personnel (%),4.9
44,Births attended by skilled health personnel (%),88.3
45,Births delivered by caesarean section (%),2.4
46,Births in a private health facility that were delivered by caesarean section (%),*
47,Births in a public health facility that were delivered by caesarean section (%),2.9
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),85.4
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),90.1
50,Children age 12-23 months who have received BCG (%),98.6
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),91.1
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.9
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),92.1
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),25.7
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),13.4
