,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),85.1
1,Population below age 15 years (%),50.6
2,"Sex ratio of the total population (females per 1,000 males)","1,038"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",984
4,Children under age 5 years whose birth was registered with the civil authority (%),79.2
5,Deaths in the last 3 years registered with the civil authority (%),49.0
6,Population living in households with electricity (%),85.0
7,Population living in households with an improved drinking-water source (%),80.5
8,Population living in households that use an improved sanitation facility(%),87.8
9,Households using clean fuel for cooking (%),8.6
10,Households using iodized salt (%),97.3
11,Households with any usual member covered under a health insurance/financing scheme (%),60.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),34.8
13,Women who are literate (%),87.4
14,Women with 10 or more years of schooling (%),16.4
15,Women age 20-24 years married before age 18 years (%),30.3
16,Births in the 5 years preceding the survey that are third or higher order (%),8.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),12.9
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),48.9
19,Any method (%),26.3
20,Any modern method (%),15.3
21,Female sterilization (%),9.3
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),1.6
24,Pill (%),2.8
25,Condom (%),0.5
26,Injectables (%),1.1
27,Total unmet need(%),25.8
28,Unmet need for spacing (%),21.1
29,Health worker ever talked to female non-users about family planning (%),43.4
30,Current users ever told about side effects of current method (%),72.8
31,Mothers who had an antenatal check-up in the first trimester (%),45.3
32,Mothers who had at least 4 antenatal care visits (%),64.0
33,Mothers whose last birth was protected against neonatal tetanus (%),81.6
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),51.6
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),21.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.3
37,delivery (%),42.0
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,947"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.4
40,delivery (%),41.4
41,Institutional births (%),41.7
42,Institutional births in public facility (%),36.1
43,Home births that were conducted by skilled health personnel (%),7.2
44,Births attended by skilled health personnel (%),49.3
45,Births delivered by caesarean section (%),4.7
46,Births in a private health facility that were delivered by caesarean section (%),30.6
47,Births in a public health facility that were delivered by caesarean section (%),8.3
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),62.5
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),77.4
50,Children age 12-23 months who have received BCG (%),86.7
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),67.6
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),68.2
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),71.5
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),12.3
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.7
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),66.4
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),63.4
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),95.9
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.9
