,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),76.0
1,Population below age 15 years (%),46.1
2,"Sex ratio of the total population (females per 1,000 males)","1,066"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,015"
4,Children under age 5 years whose birth was registered with the civil authority (%),83.0
5,Deaths in the last 3 years registered with the civil authority (%),43.5
6,Population living in households with electricity (%),85.1
7,Population living in households with an improved drinking-water source (%),74.6
8,Population living in households that use an improved sanitation facility(%),83.6
9,Households using clean fuel for cooking (%),26.5
10,Households using iodized salt (%),97.2
11,Households with any usual member covered under a health insurance/financing scheme (%),74.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),45.6
13,Women who are literate (%),76.0
14,Women with 10 or more years of schooling (%),23.0
15,Women age 20-24 years married before age 18 years (%),25.3
16,Births in the 5 years preceding the survey that are third or higher order (%),6.3
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),14.4
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),47.9
19,Any method (%),33.6
20,Any modern method (%),24.0
21,Female sterilization (%),9.2
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),1.9
24,Pill (%),7.6
25,Condom (%),2.0
26,Injectables (%),3.4
27,Total unmet need(%),26.0
28,Unmet need for spacing (%),20.1
29,Health worker ever talked to female non-users about family planning (%),44.1
30,Current users ever told about side effects of current method (%),81.1
31,Mothers who had an antenatal check-up in the first trimester (%),55.5
32,Mothers who had at least 4 antenatal care visits (%),58.6
33,Mothers whose last birth was protected against neonatal tetanus (%),87.7
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),51.9
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),25.7
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.6
37,delivery (%),49.1
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,464"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.4
40,delivery (%),45.0
41,Institutional births (%),48.4
42,Institutional births in public facility (%),36.3
43,Home births that were conducted by skilled health personnel (%),6.8
44,Births attended by skilled health personnel (%),55.7
45,Births delivered by caesarean section (%),8.0
46,Births in a private health facility that were delivered by caesarean section (%),40.3
47,Births in a public health facility that were delivered by caesarean section (%),8.6
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),74.4
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),82.4
50,Children age 12-23 months who have received BCG (%),92.6
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),80.8
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),84.0
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),83.8
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),21.6
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.6
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),77.8
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),70.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.9
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.2
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),10.6
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),72.8
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),42.2
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),57.5
