,Indicator,NFHS_5
1,Female population age 6 years and above who ever attended school (%),85.1
2,Population below age 15 years (%),50.6
3,"Sex ratio of the total population (females per 1,000 males)","1,038"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",984
5,Children under age 5 years whose birth was registered with the civil authority (%),79.2
6,Deaths in the last 3 years registered with the civil authority (%),49.0
7,Population living in households with electricity (%),85.0
8,Population living in households with an improved drinking-water source (%),80.5
9,Population living in households that use an improved sanitation facility(%),87.8
10,Households using clean fuel for cooking (%),8.6
11,Households using iodized salt (%),97.3
12,Households with any usual member covered under a health insurance/financing scheme (%),60.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),34.8
15,Women who are literate (%),87.4
16,Women with 10 or more years of schooling (%),16.4
18,Women age 20-24 years married before age 18 years (%),30.3
19,Births in the 5 years preceding the survey that are third or higher order (%),8.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),12.9
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),48.9
23,Any method (%),26.3
24,Any modern method (%),15.3
25,Female sterilization (%),9.3
26,Male sterilization (%),0.0
27,IUD/PPIUD (%),1.6
28,Pill (%),2.8
29,Condom (%),0.5
30,Injectables (%),1.1
32,Total unmet need(%),25.8
33,Unmet need for spacing (%),21.1
35,Health worker ever talked to female non-users about family planning (%),43.4
36,Current users ever told about side effects of current method (%),72.8
38,Mothers who had an antenatal check-up in the first trimester (%),45.3
39,Mothers who had at least 4 antenatal care visits (%),64.0
40,Mothers whose last birth was protected against neonatal tetanus (%),81.6
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),51.6
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),21.0
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.3
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),42.0
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,947"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.4
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),41.4
51,Institutional births (%),41.7
52,Institutional births in public facility (%),36.1
53,Home births that were conducted by skilled health personnel (%),7.2
54,Births attended by skilled health personnel (%),49.3
55,Births delivered by caesarean section (%),4.7
56,Births in a private health facility that were delivered by caesarean section (%),30.6
57,Births in a public health facility that were delivered by caesarean section (%),8.3
59,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),62.5
60,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),77.4
61,Children age 12-23 months who have received BCG (%),86.7
62,Children age 12-23 months who have received 3 doses of polio vaccine (%),67.6
63,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),68.2
64,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),71.5
65,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),12.3
66,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.7
67,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),66.4
68,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),63.4
69,Children age 12-23 months who received most of their vaccinations in a public health facility (%),95.9
70,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.9
72,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),10.1
73,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),75.1
74,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),48.8
75,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),77.4
76,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),6.5
77,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),75.3
