,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),88.7
1,Population below age 15 years (%),30.8
2,"Sex ratio of the total population (females per 1,000 males)","1,025"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,396"
4,Children under age 5 years whose birth was registered with the civil authority (%),92.9
5,Deaths in the last 3 years registered with the civil authority (%),(65.8)
6,Population living in households with electricity (%),94.7
7,Population living in households with an improved drinking-water source (%),83.7
8,Population living in households that use an improved sanitation facility(%),86.3
9,Households using clean fuel for cooking (%),47.6
10,Households using iodized salt (%),88.5
11,Households with any usual member covered under a health insurance/financing scheme (%),77.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),20.2
13,Women who are literate (%),89.0
14,Women with 10 or more years of schooling (%),45.1
15,Women age 20-24 years married before age 18 years (%),10.4
16,Births in the 5 years preceding the survey that are third or higher order (%),0.3
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.0
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),79.6
19,Any method (%),44.1
20,Any modern method (%),39.9
21,Female sterilization (%),6.7
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),9.5
24,Pill (%),17.4
25,Condom (%),4.1
26,Injectables (%),1.6
27,Total unmet need(%),19.7
28,Unmet need for spacing (%),9.2
29,Health worker ever talked to female non-users about family planning (%),32.0
30,Current users ever told about side effects of current method (%),58.1
31,Mothers who had an antenatal check-up in the first trimester (%),65.1
32,Mothers who had at least 4 antenatal care visits (%),48.0
33,Mothers whose last birth was protected against neonatal tetanus (%),91.3
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),48.2
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),14.9
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.6
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),70.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,235"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(2.1)
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),67.2
41,Institutional births (%),89.6
42,Institutional births in public facility (%),85.1
43,Home births that were conducted by skilled health personnel (%),3.2
44,Births attended by skilled health personnel (%),87.5
45,Births delivered by caesarean section (%),8.4
46,Births in a private health facility that were delivered by caesarean section (%),*
47,Births in a public health facility that were delivered by caesarean section (%),8.2
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(77.1)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(78.6)
50,Children age 12-23 months who have received BCG (%),(100.0)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(84.1)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(84.8)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(87.4)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(5.3)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(5.0)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(78.5)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),68.2
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.8
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.5
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(78.2)
66,Children under age 3 years breastfed within one hour of birth (%),47.2
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),14.6
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet  (%),17.2
72,Children under 5 years who are stunted (height-for-age) (%),39.5
73,Children under 5 years who are wasted (weight-for-height) (%),14.9
74,Children under 5 years who are severely wasted (weight-for-height) (%),4.7
75,Children under 5 years who are underweight (weight-for-age) (%),26.3
76,Children under 5 years who are overweight (weight-for-height) (%),5.2
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),7.7
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),7.2
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),74.0
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),30.2
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),57.2
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),26.7
83,All women age 15-49 years who are anaemic (%),55.3
84,All women age 15-19 years who are anaemic (%),62.0
85,Women - Blood sugar level - high (141-160 mg/dl)(%),7.6
86,Women - Blood sugar level - very high (>160 mg/dl)(%),3.3
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.1
88,Men - Blood sugar level - high (141-160 mg/dl)(%),15.9
89,Men - Blood sugar level - very high (>160 mg/dl) (%),7.9
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),24.6
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.5
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.7
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),17.4
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.2
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.4
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),24.7
97,Ever undergone a screening test for cervical cancer (%),0.0
98,Ever undergone a breast examination for breast cancer (%),0.2
99,Ever undergone an oral cavity examination for oral cancer (%),0.0
100,Women age 15 years and above who use any kind of tobacco (%),17.6
101,Men age 15 years and above who use any kind of tobacco (%),58.3
102,Women age 15 years and above who consume alcohol (%),2.1
103,Men age 15 years and above who consume alcohol (%),38.8
