Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),91.3
Population below age 15 years (%),29.2
"Sex ratio of the total population (females per 1,000 males)","1,009"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",894
Children under age 5 years whose birth was registered with the civil authority (%),79.5
Deaths in the last 3 years registered with the civil authority (%),(43.8)
Population living in households with electricity (%),97.5
Population living in households with an improved drinking-water source (%),51.5
Population living in households that use an improved sanitation facility(%),84.9
Households using clean fuel for cooking (%),24.4
Households using iodized salt (%),84.1
Households with any usual member covered under a health insurance/financing scheme (%),60.8
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),12.7
Women who are literate (%),86.1
Women with 10 or more years of schooling (%),38.4
Women age 20-24 years married before age 18 years (%),13.2
Births in the 5 years preceding the survey that are third or higher order (%),1.1
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.7
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),74.9
Any method (%),19.2
Any modern method (%),17.7
Female sterilization (%),2.9
Male sterilization (%),0.0
IUD/PPIUD (%),3.4
Pill (%),7.4
Condom (%),3.2
Injectables (%),0.7
Total unmet need(%),25.2
Unmet need for spacing (%),12.9
Health worker ever talked to female non-users about family planning (%),8.0
Current users ever told about side effects of current method (%),70.4
Mothers who had an antenatal check-up in the first trimester (%),40.3
Mothers who had at least 4 antenatal care visits (%),24.3
Mothers whose last birth was protected against neonatal tetanus (%),55.5
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),23.7
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),7.9
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),85.8
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),40.5
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,504"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.0
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),41.8
Institutional births (%),61.5
Institutional births in public facility (%),60.4
Home births that were conducted by skilled health personnel (%),5.9
Births attended by skilled health personnel (%),63.2
Births delivered by caesarean section (%),3.3
Births in a private health facility that were delivered by caesarean section (%),*
Births in a public health facility that were delivered by caesarean section (%),5.4
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(47.5)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),*
Children age 12-23 months who have received BCG (%),(65.9)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(54.7)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(57.9)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(58.1)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(2.8)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(8.2)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(39.5)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),42.6
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(96.9)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.6
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.9
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),56.6
Children under age 3 years breastfed within one hour of birth (%),62.3
Children under age 6 months exclusively breastfed (%),*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),11.7
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet  (%),13.2
Children under 5 years who are stunted (height-for-age) (%),35.6
Children under 5 years who are wasted (weight-for-height) (%),11.7
Children under 5 years who are severely wasted (weight-for-height) (%),5.6
Children under 5 years who are underweight (weight-for-age) (%),15.8
Children under 5 years who are overweight (weight-for-height) (%),7.3
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),7.7
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),11.1
Women who have high risk waist-to-hip ratio (≥0.85) (%),65.9
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),30.2
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),58.9
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(40.8)
All women age 15-49 years who are anaemic (%),58.4
All women age 15-19 years who are anaemic (%),65.2
Women - Blood sugar level - high (141-160 mg/dl)(%),7.8
Women - Blood sugar level - very high (>160 mg/dl)(%),2.7
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.2
Men - Blood sugar level - high (141-160 mg/dl)(%),11.8
Men - Blood sugar level - very high (>160 mg/dl) (%),4.1
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.7
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.5
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.6
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.0
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.7
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.3
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.4
Ever undergone a screening test for cervical cancer (%),0.0
Ever undergone a breast examination for breast cancer (%),0.0
Ever undergone an oral cavity examination for oral cancer (%),0.2
Women age 15 years and above who use any kind of tobacco (%),3.8
Men age 15 years and above who use any kind of tobacco (%),54.1
Women age 15 years and above who consume alcohol (%),2.2
Men age 15 years and above who consume alcohol (%),40.2
