Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Female population age 6 years and above who ever attended school (%),94.7,83.4,85.9,83.0
Population below age 15 years (%),29.7,39.2,37.3,36.5
"Sex ratio of the total population (females per 1,000 males)","1,118","1,020","1,039","1,005"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",915,"1,001",989,"1,009"
Children under age 5 years whose birth was registered with the civil authority (%),87.5,81.2,82.1,79.8
Deaths in the last 3 years registered with the civil authority (%),60.9,52.8,54.4,na
Population living in households with electricity (%),97.3,90.6,91.9,91.8
Population living in households with an improved drinking-water source (%),93.6,75.6,79.2,70.3
Population living in households that use an improved sanitation facility(%),81.3,83.3,82.9,61.4
Households using clean fuel for cooking (%),76.7,21.7,33.7,21.8
Households using iodized salt (%),97.5,88.7,90.6,99.1
Households with any usual member covered under a health insurance/financing scheme (%),52.8,66.5,63.5,34.6
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),36.3,30.3,31.2,na
Women who are literate (%),97.1,85.5,88.2,na
Men who are literate (%),92.9,81.5,83.7,na
Women with 10 or more years of schooling (%),61.4,27.3,35.1,33.6
Men with 10 or more years of schooling (%),63.9,27.7,34.7,34.5
Women who have ever used the internet (%),57.8,28.0,34.7,na
Men who have ever used the internet (%),59.2,38.5,42.1,na
Women age 20-24 years married before age 18 years (%),9.1,19.1,16.9,16.9
Men age 25-29 years married before age 21 years (%),(4.8),20.8,17.9,13.6
Total fertility rate (children per woman),1.6,3.3,2.9,3.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.2,8.4,7.2,8.6
Adolescent fertility rate for women age 15-19 years,18,58,49,48
Neonatal mortality rate (NNMR),(14.2),20.6,19.8,18.3
Infant mortality rate (IMR),(23.4),33.6,32.3,29.9
Under-five mortality rate (U5MR),23.4,42.6,40.0,39.6
Any method (%),25.9,27.8,27.4,24.3
Any modern method (%),21.0,22.9,22.5,21.9
Female sterilization (%),7.1,5.2,5.6,6.2
Male sterilization (%),0.0,0.0,0.0,0.0
IUD/PPIUD (%),2.9,4.7,4.4,2.1
Pill (%),6.0,8.9,8.3,11.7
Condom (%),3.9,2.4,2.7,1.3
Injectables (%),0.7,1.2,1.1,0.6
Total unmet need(%),21.9,28.2,26.9,21.2
Unmet need for spacing (%),13.3,19.5,18.3,15.3
Health worker ever talked to female non-users about family planning (%),18.7,30.4,27.4,24.2
Current users ever told about side effects of current method (%),61.4,68.4,67.2,61.3
Mothers who had an antenatal check-up in the first trimester (%),63.2,52.3,53.9,53.3
Mothers who had at least 4 antenatal care visits (%),67.5,49.6,52.2,50.0
Mothers whose last birth was protected against neonatal tetanus (%),84.8,81.6,82.1,79.2
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),47.5,42.3,43.1,36.2
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),28.7,19.2,20.6,13.0
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),87.5,94.3,93.3,93.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),54.8,42.0,43.9,47.5
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,353","3,190","3,219","3,319"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0,1.6,1.6,1.4
