,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),88.7,90.3
2,Population below age 15 years (%),34.3,34.0
3,"Sex ratio of the total population (females per 1,000 males)","1,049","1,027"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",851,923
5,Children under age 5 years whose birth was registered with the civil authority (%),77.4,84.9
6,Deaths in the last 3 years registered with the civil authority (%),55.3,na
7,Population living in households with electricity (%),96.6,96.0
8,Population living in households with an improved drinking-water source (%),90.0,90.4
9,Population living in households that use an improved sanitation facility(%),80.9,67.8
10,Households using clean fuel for cooking (%),47.4,43.1
11,Households using iodized salt (%),93.3,99.3
12,Households with any usual member covered under a health insurance/financing scheme (%),47.1,24.4
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),41.3,na
15,Women who are literate (%),93.7,na
16,Women with 10 or more years of schooling (%),43.5,44.0
18,Women age 20-24 years married before age 18 years (%),14.6,8.8
19,Births in the 5 years preceding the survey that are third or higher order (%),4.2,4.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),8.2,6.0
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),70.7,66.3
23,Any method (%),12.1,24.9
24,Any modern method (%),10.6,20.4
25,Female sterilization (%),4.3,11.8
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),2.4,2.8
28,Pill (%),1.8,3.1
29,Condom (%),1.6,2.2
30,Injectables (%),0.2,0.5
32,Total unmet need(%),33.0,23.5
33,Unmet need for spacing (%),25.2,17.2
35,Health worker ever talked to female non-users about family planning (%),22.7,22.6
36,Current users ever told about side effects of current method (%),*,69.3
38,Mothers who had an antenatal check-up in the first trimester (%),56.7,72.5
39,Mothers who had at least 4 antenatal care visits (%),57.5,72.7
40,Mothers whose last birth was protected against neonatal tetanus (%),80.2,84.2
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40.1,56.4
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),27.1,24.3
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),87.8,88.6
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),33.6,64.8
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,258","2,519"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),3.7,4.3
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),41.6,na
51,Institutional births (%),63.4,66.8
52,Institutional births in public facility (%),48.4,41.3
53,Home births that were conducted by skilled health personnel (%),6.2,2.6
54,Births attended by skilled health personnel (%),68.7,69.5
55,Births delivered by caesarean section (%),13.9,14.2
56,Births in a private health facility that were delivered by caesarean section (%),48.3,30.0
57,Births in a public health facility that were delivered by caesarean section (%),13.7,16.0
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),49.1,68.7
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),69.4,87.4
62,Children age 12-23 months who have received BCG (%),84.2,92.2
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),53.2,75.3
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),59.2,76.4
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),56.6,78.8
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),10.9,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),5.2,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),46.8,67.3
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),54.4,64.5
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),87.5,83.3
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),9.9,12.3
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.5,8.7
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(74.3),82.0
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(31.2),52.9
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(71.3),81.8
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.1,3.1
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),72.7,87.7
81,Children under age 3 years breastfed within one hour of birth (%),86.3,52.0
82,Children under age 6 months exclusively breastfed (%),(25.1),34.5
83,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(60.1)
84,Breastfeeding children age 6-23 months receiving an adequate diet  (%),32.5,28.8
85,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(41.3),26.2
86,Total children age 6-23 months receiving an adequate diet  (%),34.8,28.2
87,Children under 5 years who are stunted (height-for-age) (%),44.6,48.6
88,Children under 5 years who are wasted (weight-for-height) (%),11.2,11.1
89,Children under 5 years who are severely wasted (weight-for-height) (%),4.9,3.7
90,Children under 5 years who are underweight (weight-for-age) (%),23.8,30.4
91,Children under 5 years who are overweight (weight-for-height) (%),4.5,2.9
93,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.6,12.8
94,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),15.6,16.7
95,Women who have high risk waist-to-hip ratio (≥0.85) (%),49.3,na
97,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),39.0,46.5
98,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),48.5,46.7
99,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),43.7,47.7
100,All women age 15-49 years who are anaemic (%),48.2,46.8
101,All women age 15-19 years who are anaemic (%),40.0,42.5
104,Women - Blood sugar level - high (141-160 mg/dl)(%),2.7,na
105,Women - Blood sugar level - very high (>160 mg/dl)(%),3.5,na
106,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.1,na
108,Men - Blood sugar level - high (141-160 mg/dl)(%),3.6,na
109,Men - Blood sugar level - very high (>160 mg/dl) (%),3.4,na
110,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.4,na
113,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.2,na
114,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.6,na
116,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),24.5,na
118,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.5,na
119,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.3,na
121,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.0,na
123,Ever undergone a screening test for cervical cancer (%),1.3,na
124,Ever undergone a breast examination for breast cancer (%),1.3,na
125,Ever undergone an oral cavity examination for oral cancer (%),0.8,na
127,Women age 15 years and above who use any kind of tobacco (%),29.8,na
128,Men age 15 years and above who use any kind of tobacco (%),51.9,na
129,Women age 15 years and above who consume alcohol (%),1.2,na
130,Men age 15 years and above who consume alcohol (%),24.0,na
