,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),52.4
1,Population below age 15 years (%),18.5
2,"Sex ratio of the total population (females per 1,000 males)","1,079"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",903
4,Children under age 5 years whose birth was registered with the civil authority (%),90.9
5,Deaths in the last 3 years registered with the civil authority (%),58.9
6,Population living in households with electricity (%),99.3
7,Population living in households with an improved drinking-water source (%),95.1
8,Population living in households that use an improved sanitation facility(%),65.6
9,Households using clean fuel for cooking (%),90.3
10,Households using iodized salt (%),97.7
11,Households with any usual member covered under a health insurance/financing scheme (%),71.5
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(3.9)
13,Women who are literate (%),58.9
14,Women with 10 or more years of schooling (%),36.3
15,Women age 20-24 years married before age 18 years (%),24.9
16,Births in the 5 years preceding the survey that are third or higher order (%),2.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),13.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),90.8
19,Any method (%),64.8
20,Any modern method (%),64.3
21,Female sterilization (%),51.0
22,Male sterilization (%),11.3
23,IUD/PPIUD (%),0.0
24,Pill (%),0.5
25,Condom (%),1.0
26,Injectables (%),0.2
27,Total unmet need(%),7.0
28,Unmet need for spacing (%),2.4
29,Health worker ever talked to female non-users about family planning (%),13.5
30,Current users ever told about side effects of current method (%),47.1
31,Mothers who had an antenatal check-up in the first trimester (%),94.6
32,Mothers who had at least 4 antenatal care visits (%),72.7
33,Mothers whose last birth was protected against neonatal tetanus (%),94.1
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),58.9
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),35.3
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.0
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.1
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,993"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.6
41,Institutional births (%),99.5
42,Institutional births in public facility (%),61.3
43,Home births that were conducted by skilled health personnel (%),0.5
44,Births attended by skilled health personnel (%),95.1
45,Births delivered by caesarean section (%),64.3
46,Births in a private health facility that were delivered by caesarean section (%),87.4
47,Births in a public health facility that were delivered by caesarean section (%),50.4
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(87.9)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(97.2)
50,Children age 12-23 months who have received BCG (%),(96.9)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(87.9)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(94.0)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(96.9)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(45.6)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(6.5)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(94.4)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),70.5
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(97.4)
