,Indicator,NFHS_5
1,Female population age 6 years and above who ever attended school (%),53.1
2,Population below age 15 years (%),24.9
3,"Sex ratio of the total population (females per 1,000 males)",998
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",775
5,Children under age 5 years whose birth was registered with the civil authority (%),91.6
6,Deaths in the last 3 years registered with the civil authority (%),57.6
7,Population living in households with electricity (%),99.1
8,Population living in households with an improved drinking-water source (%),99.7
9,Population living in households that use an improved sanitation facility(%),66.7
10,Households using clean fuel for cooking (%),76.0
11,Households using iodized salt (%),89.1
12,Households with any usual member covered under a health insurance/financing scheme (%),59.6
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.4
15,Women who are literate (%),59.3
16,Women with 10 or more years of schooling (%),38.3
18,Women age 20-24 years married before age 18 years (%),39.8
19,Births in the 5 years preceding the survey that are third or higher order (%),2.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.0
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),93.3
23,Any method (%),69.8
24,Any modern method (%),69.8
25,Female sterilization (%),68.7
26,Male sterilization (%),0.0
27,IUD/PPIUD (%),0.3
28,Pill (%),0.0
29,Condom (%),0.4
30,Injectables (%),0.0
32,Total unmet need(%),4.6
33,Unmet need for spacing (%),3.0
35,Health worker ever talked to female non-users about family planning (%),8.6
36,Current users ever told about side effects of current method (%),36.5
38,Mothers who had an antenatal check-up in the first trimester (%),78.0
39,Mothers who had at least 4 antenatal care visits (%),54.8
40,Mothers whose last birth was protected against neonatal tetanus (%),83.2
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),37.2
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),24.4
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),80.8
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,201"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),86.9
51,Institutional births (%),95.0
52,Institutional births in public facility (%),54.9
53,Home births that were conducted by skilled health personnel (%),2.0
54,Births attended by skilled health personnel (%),86.7
55,Births delivered by caesarean section (%),48.0
56,Births in a private health facility that were delivered by caesarean section (%),69.5
57,Births in a public health facility that were delivered by caesarean section (%),36.6
59,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),86.2
60,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),88.7
61,Children age 12-23 months who have received BCG (%),98.4
62,Children age 12-23 months who have received 3 doses of polio vaccine (%),87.7
63,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.7
64,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),93.6
65,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),33.9
66,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),3.4
67,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),89.2
68,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),66.1
69,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.4
70,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.6
72,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),13.0
73,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(44.5)
74,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(31.6)
75,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(77.0)
76,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.5
77,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),77.8
79,Children under age 3 years breastfed within one hour of birth (%),39.7
80,Children under age 6 months exclusively breastfed (%),*
81,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
82,Breastfeeding children age 6-23 months receiving an adequate diet (%),10.8
83,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
84,Total children age 6-23 months receiving an adequate diet (%),11.1
85,Children under 5 years who are stunted (height-for-age) (%),32.1
86,Children under 5 years who are wasted (weight-for-height) (%),20.0
87,Children under 5 years who are severely wasted (weight-for-height) (%),5.8
88,Children under 5 years who are underweight (weight-for-age) (%),37.1
89,Children under 5 years who are overweight (weight-for-height) (%),0.8
91,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),25.6
92,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),25.7
93,Women who have high risk waist-to-hip ratio (≥0.85) (%),38.2
95,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),70.0
96,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),61.3
97,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*
98,All women age 15-49 years who are anaemic (%),61.0
99,All women age 15-19 years who are anaemic (%),62.0
102,Women - Blood sugar level - high (141-160 mg/dl)(%),4.8
103,Women - Blood sugar level - very high (>160 mg/dl)(%),4.1
104,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.8
106,Men - Blood sugar level - high (141-160 mg/dl)(%),5.7
107,Men - Blood sugar level - very high (>160 mg/dl) (%),7.5
108,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.3
111,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.0
