Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),59.8
Population below age 15 years (%),23.9
"Sex ratio of the total population (females per 1,000 males)","1,017"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",883
Children under age 5 years whose birth was registered with the civil authority (%),80.4
Deaths in the last 3 years registered with the civil authority (%),79.3
Population living in households with electricity (%),99.9
Population living in households with an improved drinking-water source (%),99.2
Population living in households that use an improved sanitation facility(%),76.4
Households using clean fuel for cooking (%),94.6
Households using iodized salt (%),87.5
Households with any usual member covered under a health insurance/financing scheme (%),64.8
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),11.5
Women who are literate (%),62.6
Women with 10 or more years of schooling (%),40.9
Women age 20-24 years married before age 18 years (%),28.2
Births in the 5 years preceding the survey that are third or higher order (%),1.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.9
Any method (%),78.5
Any modern method (%),77.2
Female sterilization (%),75.1
Male sterilization (%),0.0
IUD/PPIUD (%),0.4
Pill (%),0.5
Condom (%),0.7
Injectables (%),0.0
Total unmet need(%),2.0
Unmet need for spacing (%),1.2
Health worker ever talked to female non-users about family planning (%),23.6
Current users ever told about side effects of current method (%),62.8
Mothers who had an antenatal check-up in the first trimester (%),90.5
Mothers who had at least 4 antenatal care visits (%),65.7
Mothers whose last birth was protected against neonatal tetanus (%),91.8
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),66.8
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),40.1
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.2
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,320"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),95.3
Institutional births (%),98.3
Institutional births in public facility (%),57.4
Home births that were conducted by skilled health personnel (%),1.7
Births attended by skilled health personnel (%),99.0
Births delivered by caesarean section (%),65.7
Births in a private health facility that were delivered by caesarean section (%),90.0
Births in a public health facility that were delivered by caesarean section (%),50.4
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(78.3)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(79.9)
Children age 12-23 months who have received BCG (%),(94.1)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(81.2)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(91.2)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(94.1)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(32.5)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(2.9)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(91.2)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.6
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(97.0)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(3.0)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.6
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.2
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(76.7)
Children under age 3 years breastfed within one hour of birth (%),48.5
Children under age 6 months exclusively breastfed (%),*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),(6.2)
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),(7.1)
Children under 5 years who are stunted (height-for-age) (%),31.7
Children under 5 years who are wasted (weight-for-height) (%),29.8
Children under 5 years who are severely wasted (weight-for-height) (%),14.5
Children under 5 years who are underweight (weight-for-age) (%),28.0
Children under 5 years who are overweight (weight-for-height) (%),1.7
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),15.5
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),28.5
Women who have high risk waist-to-hip ratio (≥0.85) (%),50.6
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),74.5
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),54.2
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(58.3)
All women age 15-49 years who are anaemic (%),54.3
All women age 15-19 years who are anaemic (%),60.6
Women - Blood sugar level - high (141-160 mg/dl)(%),5.9
Women - Blood sugar level - very high (>160 mg/dl)(%),6.5
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.8
Men - Blood sugar level - high (141-160 mg/dl)(%),6.4
Men - Blood sugar level - very high (>160 mg/dl) (%),8.3
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.0
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.4
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.8
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),19.6
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.6
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.9
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.7
Ever undergone a screening test for cervical cancer (%),4.6
Ever undergone a breast examination for breast cancer (%),0.2
Ever undergone an oral cavity examination for oral cancer (%),1.4
Women age 15 years and above who use any kind of tobacco (%),4.0
Men age 15 years and above who use any kind of tobacco (%),24.3
Women age 15 years and above who consume alcohol (%),7.4
Men age 15 years and above who consume alcohol (%),51.4
