Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),59.1
Population below age 15 years (%),23.0
"Sex ratio of the total population (females per 1,000 males)","1,071"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",954
Children under age 5 years whose birth was registered with the civil authority (%),93.8
Deaths in the last 3 years registered with the civil authority (%),71.1
Population living in households with electricity (%),99.6
Population living in households with an improved drinking-water source (%),99.7
Population living in households that use an improved sanitation facility(%),81.9
Households using clean fuel for cooking (%),94.9
Households using iodized salt (%),98.7
Households with any usual member covered under a health insurance/financing scheme (%),65.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),27.2
Women who are literate (%),68.4
Women with 10 or more years of schooling (%),48.0
Women age 20-24 years married before age 18 years (%),21.6
Births in the 5 years preceding the survey that are third or higher order (%),3.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.7
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),94.8
Any method (%),76.2
Any modern method (%),75.0
Female sterilization (%),72.3
Male sterilization (%),0.2
IUD/PPIUD (%),0.3
Pill (%),0.0
Condom (%),0.7
Injectables (%),0.2
Total unmet need(%),5.0
Unmet need for spacing (%),2.0
Health worker ever talked to female non-users about family planning (%),20.6
Current users ever told about side effects of current method (%),58.5
Mothers who had an antenatal check-up in the first trimester (%),92.1
Mothers who had at least 4 antenatal care visits (%),67.2
Mothers whose last birth was protected against neonatal tetanus (%),91.5
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),60.5
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),35.7
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.9
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.2
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,082"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),94.9
Institutional births (%),97.7
Institutional births in public facility (%),54.9
Home births that were conducted by skilled health personnel (%),1.2
Births attended by skilled health personnel (%),94.1
Births delivered by caesarean section (%),68.2
Births in a private health facility that were delivered by caesarean section (%),80.8
Births in a public health facility that were delivered by caesarean section (%),61.3
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),76.7
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),84.3
Children age 12-23 months who have received BCG (%),95.2
Children age 12-23 months who have received 3 doses of polio vaccine (%),80.2
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.2
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),90.0
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),37.9
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),5.1
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),87.0
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),69.6
Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.0
Children age 12-23 months who received most of their vaccinations in a private health facility (%),3.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.0
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.1
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),67.3
Children under age 3 years breastfed within one hour of birth (%),43.7
Children under age 6 months exclusively breastfed (%),(69.7)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),4.5
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),3.9
Children under 5 years who are stunted (height-for-age) (%),38.3
Children under 5 years who are wasted (weight-for-height) (%),10.3
Children under 5 years who are severely wasted (weight-for-height) (%),3.0
Children under 5 years who are underweight (weight-for-age) (%),27.2
Children under 5 years who are overweight (weight-for-height) (%),5.5
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),19.4
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),24.6
Women who have high risk waist-to-hip ratio (≥0.85) (%),48.8
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),65.3
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),54.3
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(38.5)
All women age 15-49 years who are anaemic (%),53.8
All women age 15-19 years who are anaemic (%),60.1
Women - Blood sugar level - high (141-160 mg/dl)(%),6.1
Women - Blood sugar level - very high (>160 mg/dl)(%),6.9
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.6
Men - Blood sugar level - high (141-160 mg/dl)(%),6.9
Men - Blood sugar level - very high (>160 mg/dl) (%),9.6
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.0
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.5
