Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),51.8
Population below age 15 years (%),17.3
"Sex ratio of the total population (females per 1,000 males)","1,070"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",698
Children under age 5 years whose birth was registered with the civil authority (%),82.6
Deaths in the last 3 years registered with the civil authority (%),70.3
Population living in households with electricity (%),99.7
Population living in households with an improved drinking-water source (%),99.0
Population living in households that use an improved sanitation facility(%),74.3
Households using clean fuel for cooking (%),87.8
Households using iodized salt (%),97.4
Households with any usual member covered under a health insurance/financing scheme (%),72.0
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(22.6)
Women who are literate (%),60.1
Women with 10 or more years of schooling (%),40.0
Women age 20-24 years married before age 18 years (%),22.9
Births in the 5 years preceding the survey that are third or higher order (%),1.8
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),12.9
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),93.5
Any method (%),60.0
Any modern method (%),57.5
Female sterilization (%),47.0
Male sterilization (%),8.7
IUD/PPIUD (%),0.0
Pill (%),0.8
Condom (%),0.3
Injectables (%),0.3
Total unmet need(%),9.4
Unmet need for spacing (%),2.4
Health worker ever talked to female non-users about family planning (%),16.3
Current users ever told about side effects of current method (%),53.5
Mothers who had an antenatal check-up in the first trimester (%),86.8
Mothers who had at least 4 antenatal care visits (%),70.4
Mothers whose last birth was protected against neonatal tetanus (%),82.3
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),51.9
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),35.2
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.8
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,713"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.5
Institutional births (%),100.0
Institutional births in public facility (%),63.1
Home births that were conducted by skilled health personnel (%),0.0
Births attended by skilled health personnel (%),94.5
Births delivered by caesarean section (%),71.8
Births in a private health facility that were delivered by caesarean section (%),84.1
Births in a public health facility that were delivered by caesarean section (%),64.6
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(79.0)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(83.6)
Children age 12-23 months who have received BCG (%),(93.0)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(79.0)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(93.0)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(93.0)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(39.3)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(0.0)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(93.0)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),83.7
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),14.4
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(25.8)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(41.7)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(57.4)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.6
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),69.8
Children under age 3 years breastfed within one hour of birth (%),33.8
Children under age 6 months exclusively breastfed (%),*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),(5.6)
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),(5.1)
Children under 5 years who are stunted (height-for-age) (%),36.1
Children under 5 years who are wasted (weight-for-height) (%),19.0
Children under 5 years who are severely wasted (weight-for-height) (%),8.9
Children under 5 years who are underweight (weight-for-age) (%),37.9
Children under 5 years who are overweight (weight-for-height) (%),2.4
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),22.6
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),26.4
Women who have high risk waist-to-hip ratio (≥0.85) (%),45.6
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),71.5
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),59.2
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(61.5)
All women age 15-49 years who are anaemic (%),59.3
All women age 15-19 years who are anaemic (%),64.3
Women - Blood sugar level - high (141-160 mg/dl)(%),6.6
Women - Blood sugar level - very high (>160 mg/dl)(%),7.6
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.6
Men - Blood sugar level - high (141-160 mg/dl)(%),6.5
Men - Blood sugar level - very high (>160 mg/dl) (%),10.0
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.1
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.4
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.2
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),26.3
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.4
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.5
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),29.4
Ever undergone a screening test for cervical cancer (%),5.5
Ever undergone a breast examination for breast cancer (%),1.1
Ever undergone an oral cavity examination for oral cancer (%),3.8
Women age 15 years and above who use any kind of tobacco (%),2.8
Men age 15 years and above who use any kind of tobacco (%),23.2
Women age 15 years and above who consume alcohol (%),6.5
Men age 15 years and above who consume alcohol (%),54.4
