,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),56.4
1,Population below age 15 years (%),21.3
2,"Sex ratio of the total population (females per 1,000 males)","1,167"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,115"
4,Children under age 5 years whose birth was registered with the civil authority (%),91.2
5,Deaths in the last 3 years registered with the civil authority (%),76.7
6,Population living in households with electricity (%),99.8
7,Population living in households with an improved drinking-water source (%),98.7
8,Population living in households that use an improved sanitation facility(%),77.4
9,Households using clean fuel for cooking (%),96.6
10,Households using iodized salt (%),98.5
11,Households with any usual member covered under a health insurance/financing scheme (%),62.8
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(9.1)
13,Women who are literate (%),64.7
14,Women with 10 or more years of schooling (%),46.4
15,Women age 20-24 years married before age 18 years (%),13.2
16,Births in the 5 years preceding the survey that are third or higher order (%),1.9
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.0
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),92.2
19,Any method (%),60.7
20,Any modern method (%),59.3
21,Female sterilization (%),49.9
22,Male sterilization (%),5.9
23,IUD/PPIUD (%),0.0
24,Pill (%),0.3
25,Condom (%),1.8
26,Injectables (%),0.3
27,Total unmet need(%),9.9
28,Unmet need for spacing (%),2.9
29,Health worker ever talked to female non-users about family planning (%),18.9
30,Current users ever told about side effects of current method (%),60.0
31,Mothers who had an antenatal check-up in the first trimester (%),90.4
32,Mothers who had at least 4 antenatal care visits (%),67.1
33,Mothers whose last birth was protected against neonatal tetanus (%),96.3
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),55.2
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),34.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.0
37,delivery (%),89.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,065"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,delivery (%),90.1
41,Institutional births (%),97.6
42,Institutional births in public facility (%),37.7
43,Home births that were conducted by skilled health personnel (%),1.2
44,Births attended by skilled health personnel (%),95.4
45,Births delivered by caesarean section (%),77.2
46,Births in a private health facility that were delivered by caesarean section (%),90.9
47,Births in a public health facility that were delivered by caesarean section (%),60.6
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),84.1
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),85.1
50,Children age 12-23 months who have received BCG (%),96.4
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),86.1
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.4
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),94.8
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),41.9
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),1.5
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),92.8
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),73.3
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.8
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),3.3
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.1
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.1
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(72.7)
66,Children under age 3 years breastfed within one hour of birth (%),32.5
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),8.1
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),7.8
72,Children under 5 years who are stunted (height-for-age) (%),22.4
73,Children under 5 years who are wasted (weight-for-height) (%),19.4
74,Children under 5 years who are severely wasted (weight-for-height) (%),8.9
75,Children under 5 years who are underweight (weight-for-age) (%),26.1
76,Children under 5 years who are overweight (weight-for-height) (%),2.3
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),18.6
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),23.8
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),43.1
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),65.7
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),56.6
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(36.6)
83,All women age 15-49 years who are anaemic (%),56.0
84,All women age 15-19 years who are anaemic (%),61.4
85,Blood sugar level - high (141-160 mg/dl)(%),6.5
86,Blood sugar level - very high (>160 mg/dl)(%),5.1
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.2
88,Blood sugar level - high (141-160 mg/dl)(%),6.2
89,Blood sugar level - very high (>160 mg/dl) (%),11.4
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),20.3
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.9
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.3
93,pressure (%),30.2
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),19.5
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.0
96,pressure (%),36.0
97,Ever undergone a screening test for cervical cancer (%),6.9
98,Ever undergone a breast examination for breast cancer (%),1.2
99,Ever undergone an oral cavity examination for oral cancer (%),3.3
100,Women age 15 years and above who use any kind of tobacco (%),8.5
101,Men age 15 years and above who use any kind of tobacco (%),19.4
102,Women age 15 years and above who consume alcohol (%),6.1
103,Men age 15 years and above who consume alcohol (%),49.9
