Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),62.7
Population below age 15 years (%),19.5
"Sex ratio of the total population (females per 1,000 males)","1,082"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",817
Children under age 5 years whose birth was registered with the civil authority (%),90.0
Deaths in the last 3 years registered with the civil authority (%),75.3
Population living in households with electricity (%),99.4
Population living in households with an improved drinking-water source (%),99.1
Population living in households that use an improved sanitation facility(%),75.3
Households using clean fuel for cooking (%),89.2
Households using iodized salt (%),97.7
Households with any usual member covered under a health insurance/financing scheme (%),59.4
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9.2
Women who are literate (%),68.7
Women with 10 or more years of schooling (%),41.8
Women age 20-24 years married before age 18 years (%),20.8
Births in the 5 years preceding the survey that are third or higher order (%),1.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),13.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),92.9
Any method (%),75.0
Any modern method (%),74.0
Female sterilization (%),68.2
Male sterilization (%),2.2
IUD/PPIUD (%),0.3
Pill (%),0.9
Condom (%),1.4
Injectables (%),0.3
Total unmet need(%),3.8
Unmet need for spacing (%),2.1
Health worker ever talked to female non-users about family planning (%),18.3
Current users ever told about side effects of current method (%),51.3
Mothers who had an antenatal check-up in the first trimester (%),92.8
Mothers who had at least 4 antenatal care visits (%),70.1
Mothers whose last birth was protected against neonatal tetanus (%),91.2
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),62.5
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),42.3
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.1
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,255"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.4
Institutional births (%),97.4
Institutional births in public facility (%),53.9
Home births that were conducted by skilled health personnel (%),2.3
Births attended by skilled health personnel (%),94.2
Births delivered by caesarean section (%),58.0
