,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),55.0
1,Population below age 15 years (%),21.8
2,"Sex ratio of the total population (females per 1,000 males)","1,067"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",885
4,Children under age 5 years whose birth was registered with the civil authority (%),91.0
5,Deaths in the last 3 years registered with the civil authority (%),70.0
6,Population living in households with electricity (%),99.6
7,Population living in households with an improved drinking-water source (%),98.2
8,Population living in households that use an improved sanitation facility(%),68.6
9,Households using clean fuel for cooking (%),86.6
10,Households using iodized salt (%),96.2
11,Households with any usual member covered under a health insurance/financing scheme (%),69.3
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(25.8)
13,Women who are literate (%),58.0
14,Women with 10 or more years of schooling (%),34.7
15,Women age 20-24 years married before age 18 years (%),28.3
16,Births in the 5 years preceding the survey that are third or higher order (%),0.5
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.6
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),92.8
19,Any method (%),75.4
20,Any modern method (%),74.7
21,Female sterilization (%),68.9
22,Male sterilization (%),4.6
23,IUD/PPIUD (%),0.0
24,Pill (%),0.4
25,Condom (%),0.3
26,Injectables (%),0.0
27,Total unmet need(%),4.7
28,Unmet need for spacing (%),2.2
29,Health worker ever talked to female non-users about family planning (%),16.3
30,Current users ever told about side effects of current method (%),59.5
31,Mothers who had an antenatal check-up in the first trimester (%),87.8
32,Mothers who had at least 4 antenatal care visits (%),67.7
33,Mothers whose last birth was protected against neonatal tetanus (%),94.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),52.1
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),32.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.1
37,delivery (%),91.5
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,234"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,delivery (%),94.3
41,Institutional births (%),97.7
42,Institutional births in public facility (%),41.5
43,Home births that were conducted by skilled health personnel (%),1.9
44,Births attended by skilled health personnel (%),95.4
45,Births delivered by caesarean section (%),74.0
46,Births in a private health facility that were delivered by caesarean section (%),87.0
47,Births in a public health facility that were delivered by caesarean section (%),60.5
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(76.1)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(96.8)
50,Children age 12-23 months who have received BCG (%),(89.7)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(76.1)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(87.4)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(87.4)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(21.4)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(0.0)
