Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),58.4
Population below age 15 years (%),19.5
"Sex ratio of the total population (females per 1,000 males)","1,065"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",909
Children under age 5 years whose birth was registered with the civil authority (%),93.2
Deaths in the last 3 years registered with the civil authority (%),73.6
Population living in households with electricity (%),99.6
Population living in households with an improved drinking-water source (%),95.6
Population living in households that use an improved sanitation facility(%),78.1
Households using clean fuel for cooking (%),93.1
Households using iodized salt (%),97.7
Households with any usual member covered under a health insurance/financing scheme (%),64.4
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(16.1)
Women who are literate (%),69.5
Women with 10 or more years of schooling (%),48.8
Women age 20-24 years married before age 18 years (%),14.0
Births in the 5 years preceding the survey that are third or higher order (%),0.9
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.7
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),88.1
Any method (%),55.3
Any modern method (%),55.3
Female sterilization (%),53.9
Male sterilization (%),0.5
IUD/PPIUD (%),0.2
Pill (%),0.2
Condom (%),0.0
Injectables (%),0.2
Total unmet need(%),11.3
Unmet need for spacing (%),2.9
Health worker ever talked to female non-users about family planning (%),9.5
Current users ever told about side effects of current method (%),33.0
Mothers who had an antenatal check-up in the first trimester (%),86.7
Mothers who had at least 4 antenatal care visits (%),64.7
Mothers whose last birth was protected against neonatal tetanus (%),89.6
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),68.1
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),49.0
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.7
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"(3,041)"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.3
Institutional births (%),90.1
Institutional births in public facility (%),33.9
Home births that were conducted by skilled health personnel (%),4.0
Births attended by skilled health personnel (%),96.9
Births delivered by caesarean section (%),67.9
Births in a private health facility that were delivered by caesarean section (%),92.6
Births in a public health facility that were delivered by caesarean section (%),46.8
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(76.0)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(87.4)
Children age 12-23 months who have received BCG (%),(100.0)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(83.0)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(92.7)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(87.5)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(46.5)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(4.9)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(81.7)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),63.9
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(75.8)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(24.3)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),12.6
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
