,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),68.6
1,Population below age 15 years (%),24.1
2,"Sex ratio of the total population (females per 1,000 males)","1,022"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",964
4,Children under age 5 years whose birth was registered with the civil authority (%),93.4
5,Deaths in the last 3 years registered with the civil authority (%),72.8
6,Population living in households with electricity (%),99.7
7,Population living in households with an improved drinking-water source (%),99.4
8,Population living in households that use an improved sanitation facility(%),81.1
9,Households using clean fuel for cooking (%),97.0
10,Households using iodized salt (%),98.2
11,Households with any usual member covered under a health insurance/financing scheme (%),58.3
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),19.8
13,Women who are literate (%),72.1
14,Women with 10 or more years of schooling (%),51.4
15,Women age 20-24 years married before age 18 years (%),29.0
16,Births in the 5 years preceding the survey that are third or higher order (%),1.1
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),95.3
19,Any method (%),72.6
20,Any modern method (%),69.7
21,Female sterilization (%),67.6
22,Male sterilization (%),0.1
23,IUD/PPIUD (%),0.3
24,Pill (%),0.7
25,Condom (%),0.7
26,Injectables (%),0.1
27,Total unmet need(%),4.8
28,Unmet need for spacing (%),2.2
29,Health worker ever talked to female non-users about family planning (%),18.7
30,Current users ever told about side effects of current method (%),53.4
31,Mothers who had an antenatal check-up in the first trimester (%),95.5
32,Mothers who had at least 4 antenatal care visits (%),75.1
33,Mothers whose last birth was protected against neonatal tetanus (%),90.3
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),48.2
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),26.6
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.3
37,delivery (%),89.8
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,499"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,delivery (%),90.0
41,Institutional births (%),97.2
42,Institutional births in public facility (%),48.2
43,Home births that were conducted by skilled health personnel (%),1.2
44,Births attended by skilled health personnel (%),92.7
45,Births delivered by caesarean section (%),57.8
46,Births in a private health facility that were delivered by caesarean section (%),75.7
47,Births in a public health facility that were delivered by caesarean section (%),42.9
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),85.8
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),91.9
50,Children age 12-23 months who have received BCG (%),94.1
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),85.8
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),89.2
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),87.6
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),30.5
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),87.8
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),67.8
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),92.8
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),7.2
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.3
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.1
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(72.2)
66,Children under age 3 years breastfed within one hour of birth (%),40.3
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),7.6
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),7.2
72,Children under 5 years who are stunted (height-for-age) (%),37.8
73,Children under 5 years who are wasted (weight-for-height) (%),13.9
74,Children under 5 years who are severely wasted (weight-for-height) (%),5.1
75,Children under 5 years who are underweight (weight-for-age) (%),29.5
76,Children under 5 years who are overweight (weight-for-height) (%),4.0
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),14.9
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),40.6
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),47.9
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),75.8
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),53.6
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(44.8)
83,All women age 15-49 years who are anaemic (%),53.2
84,All women age 15-19 years who are anaemic (%),58.0
85,Blood sugar level - high (141-160 mg/dl)(%),5.2
86,Blood sugar level - very high (>160 mg/dl)(%),8.3
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.3
88,Blood sugar level - high (141-160 mg/dl)(%),6.3
89,Blood sugar level - very high (>160 mg/dl) (%),11.0
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),19.6
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.8
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.9
93,pressure (%),28.5
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),21.3
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),9.3
96,pressure (%),35.0
97,Ever undergone a screening test for cervical cancer (%),0.5
98,Ever undergone a breast examination for breast cancer (%),0.1
99,Ever undergone an oral cavity examination for oral cancer (%),1.0
100,Women age 15 years and above who use any kind of tobacco (%),4.5
101,Men age 15 years and above who use any kind of tobacco (%),18.9
102,Women age 15 years and above who consume alcohol (%),6.7
103,Men age 15 years and above who consume alcohol (%),46.8
