Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),56.4
Population below age 15 years (%),21.3
"Sex ratio of the total population (females per 1,000 males)","1,167"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,115"
Children under age 5 years whose birth was registered with the civil authority (%),91.2
Deaths in the last 3 years registered with the civil authority (%),76.7
Population living in households with electricity (%),99.8
Population living in households with an improved drinking-water source (%),98.7
Population living in households that use an improved sanitation facility(%),77.4
Households using clean fuel for cooking (%),96.6
Households using iodized salt (%),98.5
Households with any usual member covered under a health insurance/financing scheme (%),62.8
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(9.1)
Women who are literate (%),64.7
Women with 10 or more years of schooling (%),46.4
Women age 20-24 years married before age 18 years (%),13.2
Births in the 5 years preceding the survey that are third or higher order (%),1.9
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),92.2
Any method (%),60.7
Any modern method (%),59.3
Female sterilization (%),49.9
Male sterilization (%),5.9
IUD/PPIUD (%),0.0
Pill (%),0.3
Condom (%),1.8
Injectables (%),0.3
Total unmet need(%),9.9
Unmet need for spacing (%),2.9
Health worker ever talked to female non-users about family planning (%),18.9
Current users ever told about side effects of current method (%),60.0
Mothers who had an antenatal check-up in the first trimester (%),90.4
Mothers who had at least 4 antenatal care visits (%),67.1
Mothers whose last birth was protected against neonatal tetanus (%),96.3
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),55.2
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),34.0
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.9
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,065"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.1
Institutional births (%),97.6
Institutional births in public facility (%),37.7
Home births that were conducted by skilled health personnel (%),1.2
Births attended by skilled health personnel (%),95.4
Births delivered by caesarean section (%),77.2
Births in a private health facility that were delivered by caesarean section (%),90.9
Births in a public health facility that were delivered by caesarean section (%),60.6
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),84.1
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),85.1
Children age 12-23 months who have received BCG (%),96.4
Children age 12-23 months who have received 3 doses of polio vaccine (%),86.1
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.4
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),94.8
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),41.9
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),1.5
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),92.8
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),73.3
Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.8
Children age 12-23 months who received most of their vaccinations in a private health facility (%),3.3
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.1
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.1
