,Indicator,NFHS_5
1,Female population age 6 years and above who ever attended school (%),63.6
2,Population below age 15 years (%),20.1
3,"Sex ratio of the total population (females per 1,000 males)","1,065"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",933
5,Children under age 5 years whose birth was registered with the civil authority (%),88.7
6,Deaths in the last 3 years registered with the civil authority (%),66.4
7,Population living in households with electricity (%),99.7
8,Population living in households with an improved drinking-water source (%),98.3
9,Population living in households that use an improved sanitation facility(%),78.8
10,Households using clean fuel for cooking (%),94.9
11,Households using iodized salt (%),99.1
12,Households with any usual member covered under a health insurance/financing scheme (%),58.6
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(16.4)
15,Women who are literate (%),70.3
16,Women with 10 or more years of schooling (%),50.8
18,Women age 20-24 years married before age 18 years (%),11.9
19,Births in the 5 years preceding the survey that are third or higher order (%),1.1
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.6
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),94.1
23,Any method (%),56.8
24,Any modern method (%),56.4
25,Female sterilization (%),44.4
26,Male sterilization (%),10.9
27,IUD/PPIUD (%),0.1
28,Pill (%),0.1
29,Condom (%),0.6
30,Injectables (%),0.0
32,Total unmet need(%),10.0
33,Unmet need for spacing (%),2.9
35,Health worker ever talked to female non-users about family planning (%),14.5
36,Current users ever told about side effects of current method (%),24.3
38,Mothers who had an antenatal check-up in the first trimester (%),92.3
39,Mothers who had at least 4 antenatal care visits (%),69.6
40,Mothers whose last birth was protected against neonatal tetanus (%),85.2
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),48.8
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),38.6
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),88.2
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.5
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,573"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),95.9
51,Institutional births (%),98.4
52,Institutional births in public facility (%),34.2
53,Home births that were conducted by skilled health personnel (%),1.6
54,Births attended by skilled health personnel (%),86.9
55,Births delivered by caesarean section (%),82.4
56,Births in a private health facility that were delivered by caesarean section (%),92.8
57,Births in a public health facility that were delivered by caesarean section (%),66.8
59,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(73.4)
60,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(74.5)
61,Children age 12-23 months who have received BCG (%),(95.8)
62,Children age 12-23 months who have received 3 doses of polio vaccine (%),(82.1)
63,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(88.5)
64,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(94.0)
65,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(26.7)
66,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(2.6)
67,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(88.5)
68,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),79.8
69,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(89.3)
70,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(10.7)
72,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),13.5
73,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(59.2)
74,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(36.8)
75,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(75.9)
76,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.1
77,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),70.3
