Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),60.8
Population below age 15 years (%),22.0
"Sex ratio of the total population (females per 1,000 males)","1,062"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",976
Children under age 5 years whose birth was registered with the civil authority (%),90.0
Deaths in the last 3 years registered with the civil authority (%),71.8
Population living in households with electricity (%),99.5
Population living in households with an improved drinking-water source (%),97.2
Population living in households that use an improved sanitation facility(%),84.1
Households using clean fuel for cooking (%),93.2
Households using iodized salt (%),98.5
Households with any usual member covered under a health insurance/financing scheme (%),60.9
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(14.7)
Women who are literate (%),71.0
Women with 10 or more years of schooling (%),51.3
Women age 20-24 years married before age 18 years (%),19.0
Births in the 5 years preceding the survey that are third or higher order (%),0.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),88.4
Any method (%),59.8
Any modern method (%),59.4
Female sterilization (%),54.5
Male sterilization (%),0.9
IUD/PPIUD (%),0.7
Pill (%),1.3
Condom (%),1.3
Injectables (%),0.0
Total unmet need(%),9.6
Unmet need for spacing (%),3.7
Health worker ever talked to female non-users about family planning (%),11.6
Current users ever told about side effects of current method (%),46.7
Mothers who had an antenatal check-up in the first trimester (%),86.1
Mothers who had at least 4 antenatal care visits (%),62.6
Mothers whose last birth was protected against neonatal tetanus (%),89.8
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),60.6
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),41.5
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.9
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),74.1
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,528"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.9
Institutional births (%),99.7
Institutional births in public facility (%),47.3
