Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),68.6
Population below age 15 years (%),24.1
"Sex ratio of the total population (females per 1,000 males)","1,022"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",964
Children under age 5 years whose birth was registered with the civil authority (%),93.4
Deaths in the last 3 years registered with the civil authority (%),72.8
Population living in households with electricity (%),99.7
Population living in households with an improved drinking-water source (%),99.4
Population living in households that use an improved sanitation facility(%),81.1
Households using clean fuel for cooking (%),97.0
Households using iodized salt (%),98.2
Households with any usual member covered under a health insurance/financing scheme (%),58.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),19.8
Women who are literate (%),72.1
Women with 10 or more years of schooling (%),51.4
Women age 20-24 years married before age 18 years (%),29.0
Births in the 5 years preceding the survey that are third or higher order (%),1.1
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.2
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),95.3
Any method (%),72.6
Any modern method (%),69.7
Female sterilization (%),67.6
Male sterilization (%),0.1
IUD/PPIUD (%),0.3
Pill (%),0.7
Condom (%),0.7
Injectables (%),0.1
Total unmet need(%),4.8
Unmet need for spacing (%),2.2
Health worker ever talked to female non-users about family planning (%),18.7
Current users ever told about side effects of current method (%),53.4
Mothers who had an antenatal check-up in the first trimester (%),95.5
Mothers who had at least 4 antenatal care visits (%),75.1
Mothers whose last birth was protected against neonatal tetanus (%),90.3
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),48.2
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),26.6
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.3
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.8
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,499"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.0
Institutional births (%),97.2
Institutional births in public facility (%),48.2
Home births that were conducted by skilled health personnel (%),1.2
Births attended by skilled health personnel (%),92.7
Births delivered by caesarean section (%),57.8
Births in a private health facility that were delivered by caesarean section (%),75.7
Births in a public health facility that were delivered by caesarean section (%),42.9
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),85.8
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),91.9
Children age 12-23 months who have received BCG (%),94.1
