Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),49.3
Population below age 15 years (%),24.8
"Sex ratio of the total population (females per 1,000 males)","1,018"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",987
Children under age 5 years whose birth was registered with the civil authority (%),90.5
Deaths in the last 3 years registered with the civil authority (%),75.7
Population living in households with electricity (%),99.2
Population living in households with an improved drinking-water source (%),99.4
Population living in households that use an improved sanitation facility(%),75.9
Households using clean fuel for cooking (%),88.9
Households using iodized salt (%),93.5
Households with any usual member covered under a health insurance/financing scheme (%),70.1
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9.5
Women who are literate (%),52.1
Women with 10 or more years of schooling (%),37.0
Women age 20-24 years married before age 18 years (%),32.6
Births in the 5 years preceding the survey that are third or higher order (%),4.6
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.7
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),95.5
Any method (%),77.3
Any modern method (%),75.7
Female sterilization (%),74.4
Male sterilization (%),0.0
IUD/PPIUD (%),0.2
Pill (%),0.3
Condom (%),0.3
Injectables (%),0.0
Total unmet need(%),3.6
Unmet need for spacing (%),2.1
Health worker ever talked to female non-users about family planning (%),22.3
Current users ever told about side effects of current method (%),36.6
Mothers who had an antenatal check-up in the first trimester (%),91.4
Mothers who had at least 4 antenatal care visits (%),62.8
Mothers whose last birth was protected against neonatal tetanus (%),92.6
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),64.3
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),38.8
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.6
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,989"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),83.6
Institutional births (%),99.0
Institutional births in public facility (%),51.4
Home births that were conducted by skilled health personnel (%),1.1
Births attended by skilled health personnel (%),96.6
Births delivered by caesarean section (%),50.9
Births in a private health facility that were delivered by caesarean section (%),68.3
Births in a public health facility that were delivered by caesarean section (%),35.8
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(87.0)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(94.7)
Children age 12-23 months who have received BCG (%),(97.3)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(87.0)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(91.9)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(97.3)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(30.4)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(0.0)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(86.9)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),71.4
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.0
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.7
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(82.3)
Children under age 3 years breastfed within one hour of birth (%),43.5
Children under age 6 months exclusively breastfed (%),(75.2)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),(1.8)
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),7.5
Children under 5 years who are stunted (height-for-age) (%),40.4
Children under 5 years who are wasted (weight-for-height) (%),15.1
Children under 5 years who are severely wasted (weight-for-height) (%),4.4
Children under 5 years who are underweight (weight-for-age) (%),33.2
Children under 5 years who are overweight (weight-for-height) (%),4.9
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),24.6
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),23.5
Women who have high risk waist-to-hip ratio (≥0.85) (%),37.1
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),75.3
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),58.5
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(63.5)
All women age 15-49 years who are anaemic (%),58.7
All women age 15-19 years who are anaemic (%),65.2
Women - Blood sugar level - high (141-160 mg/dl)(%),5.9
Women - Blood sugar level - very high (>160 mg/dl)(%),7.0
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.9
Men - Blood sugar level - high (141-160 mg/dl)(%),7.4
Men - Blood sugar level - very high (>160 mg/dl) (%),7.7
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.5
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.5
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.8
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.5
