,Indicator,NFHS_5
1,Female population age 6 years and above who ever attended school (%),58.6
2,Population below age 15 years (%),24.8
3,"Sex ratio of the total population (females per 1,000 males)",992
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",785
5,Children under age 5 years whose birth was registered with the civil authority (%),83.9
6,Deaths in the last 3 years registered with the civil authority (%),77.3
7,Population living in households with electricity (%),99.2
8,Population living in households with an improved drinking-water source (%),95.7
9,Population living in households that use an improved sanitation facility(%),50.8
10,Households using clean fuel for cooking (%),81.6
11,Households using iodized salt (%),97.6
12,Households with any usual member covered under a health insurance/financing scheme (%),63.6
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.3
15,Women who are literate (%),64.8
16,Women with 10 or more years of schooling (%),41.0
18,Women age 20-24 years married before age 18 years (%),21.4
19,Births in the 5 years preceding the survey that are third or higher order (%),1.3
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.8
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),77.9
23,Any method (%),54.3
24,Any modern method (%),54.1
25,Female sterilization (%),50.2
26,Male sterilization (%),0.6
27,IUD/PPIUD (%),0.0
28,Pill (%),1.2
29,Condom (%),1.5
30,Injectables (%),0.0
32,Total unmet need(%),10.1
33,Unmet need for spacing (%),4.7
35,Health worker ever talked to female non-users about family planning (%),12.0
36,Current users ever told about side effects of current method (%),32.6
38,Mothers who had an antenatal check-up in the first trimester (%),89.7
39,Mothers who had at least 4 antenatal care visits (%),74.8
40,Mothers whose last birth was protected against neonatal tetanus (%),90.9
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),44.4
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),21.8
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.1
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),83.4
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,105"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),80.3
51,Institutional births (%),94.1
52,Institutional births in public facility (%),66.8
53,Home births that were conducted by skilled health personnel (%),1.8
54,Births attended by skilled health personnel (%),93.9
55,Births delivered by caesarean section (%),40.7
56,Births in a private health facility that were delivered by caesarean section (%),74.1
57,Births in a public health facility that were delivered by caesarean section (%),30.6
59,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),69.3
60,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),73.7
61,Children age 12-23 months who have received BCG (%),91.6
62,Children age 12-23 months who have received 3 doses of polio vaccine (%),72.5
63,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),81.9
64,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),86.7
65,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),43.7
66,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),7.4
67,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),81.9
68,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),85.7
69,Children age 12-23 months who received most of their vaccinations in a public health facility (%),94.9
70,Children age 12-23 months who received most of their vaccinations in a private health facility (%),4.7
72,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),10.3
73,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(65.0)
74,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(42.7)
75,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(77.5)
76,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.7
77,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(75.0)
79,Children under age 3 years breastfed within one hour of birth (%),20.4
80,Children under age 6 months exclusively breastfed (%),(72.2)
81,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
82,Breastfeeding children age 6-23 months receiving an adequate diet (%),9.7
83,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
84,Total children age 6-23 months receiving an adequate diet (%),9.6
85,Children under 5 years who are stunted (height-for-age) (%),45.7
86,Children under 5 years who are wasted (weight-for-height) (%),29.5
87,Children under 5 years who are severely wasted (weight-for-height) (%),12.9
88,Children under 5 years who are underweight (weight-for-age) (%),52.0
89,Children under 5 years who are overweight (weight-for-height) (%),2.9
91,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),26.9
92,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),15.7
93,Women who have high risk waist-to-hip ratio (≥0.85) (%),48.3
95,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),76.3
96,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),61.1
