,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),54.8
1,Population below age 15 years (%),27.8
2,"Sex ratio of the total population (females per 1,000 males)","1,035"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",789
4,Children under age 5 years whose birth was registered with the civil authority (%),91.9
5,Deaths in the last 3 years registered with the civil authority (%),72.6
6,Population living in households with electricity (%),99.4
7,Population living in households with an improved drinking-water source (%),99.6
8,Population living in households that use an improved sanitation facility(%),73.7
9,Households using clean fuel for cooking (%),85.9
10,Households using iodized salt (%),94.1
11,Households with any usual member covered under a health insurance/financing scheme (%),70.3
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),20.2
13,Women who are literate (%),59.6
14,Women with 10 or more years of schooling (%),40.4
15,Women age 20-24 years married before age 18 years (%),23.4
16,Births in the 5 years preceding the survey that are third or higher order (%),2.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),95.6
19,Any method (%),72.0
20,Any modern method (%),70.1
21,Female sterilization (%),68.0
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),0.3
24,Pill (%),0.1
25,Condom (%),0.4
26,Injectables (%),0.0
27,Total unmet need(%),2.7
28,Unmet need for spacing (%),1.7
29,Health worker ever talked to female non-users about family planning (%),31.4
30,Current users ever told about side effects of current method (%),48.3
31,Mothers who had an antenatal check-up in the first trimester (%),86.2
32,Mothers who had at least 4 antenatal care visits (%),62.6
33,Mothers whose last birth was protected against neonatal tetanus (%),90.2
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),69.1
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),45.5
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),84.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,369"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.5
41,Institutional births (%),98.1
42,Institutional births in public facility (%),59.2
43,Home births that were conducted by skilled health personnel (%),1.0
44,Births attended by skilled health personnel (%),97.6
45,Births delivered by caesarean section (%),43.4
46,Births in a private health facility that were delivered by caesarean section (%),72.2
47,Births in a public health facility that were delivered by caesarean section (%),25.9
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),89.4
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),98.1
50,Children age 12-23 months who have received BCG (%),98.2
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),89.4
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),96.5
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),96.5
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),41.6
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),89.3
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),70.8
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),90.7
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.5
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.0
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.4
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(81.2)
66,Children under age 3 years breastfed within one hour of birth (%),42.9
67,Children under age 6 months exclusively breastfed (%),(74.0)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),5.8
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),5.4
72,Children under 5 years who are stunted (height-for-age) (%),42.6
