Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),51.1
Population below age 15 years (%),23.8
"Sex ratio of the total population (females per 1,000 males)","1,066"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",771
Children under age 5 years whose birth was registered with the civil authority (%),91.4
Deaths in the last 3 years registered with the civil authority (%),84.8
Population living in households with electricity (%),99.9
Population living in households with an improved drinking-water source (%),99.6
Population living in households that use an improved sanitation facility(%),73.2
Households using clean fuel for cooking (%),87.3
Households using iodized salt (%),92.0
Households with any usual member covered under a health insurance/financing scheme (%),68.6
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),18.9
Women who are literate (%),57.1
Women with 10 or more years of schooling (%),36.0
Women age 20-24 years married before age 18 years (%),32.1
Births in the 5 years preceding the survey that are third or higher order (%),1.9
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.3
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.6
Any method (%),77.3
Any modern method (%),76.5
Female sterilization (%),73.2
Male sterilization (%),0.0
IUD/PPIUD (%),0.8
Pill (%),0.6
Condom (%),0.6
Injectables (%),0.2
Total unmet need(%),3.9
Unmet need for spacing (%),1.7
Health worker ever talked to female non-users about family planning (%),27.1
Current users ever told about side effects of current method (%),58.3
Mothers who had an antenatal check-up in the first trimester (%),92.4
Mothers who had at least 4 antenatal care visits (%),75.1
Mothers whose last birth was protected against neonatal tetanus (%),88.5
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),65.9
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),41.1
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.3
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,975"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.0
Institutional births (%),98.0
Institutional births in public facility (%),56.2
Home births that were conducted by skilled health personnel (%),2.0
Births attended by skilled health personnel (%),94.5
Births delivered by caesarean section (%),53.0
Births in a private health facility that were delivered by caesarean section (%),73.7
Births in a public health facility that were delivered by caesarean section (%),39.5
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),81.1
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(98.3)
Children age 12-23 months who have received BCG (%),91.9
Children age 12-23 months who have received 3 doses of polio vaccine (%),81.1
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),88.8
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),90.1
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),37.0
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),1.7
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),86.7
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),64.7
Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.1
Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.9
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.6
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.9
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(86.6)
Children under age 3 years breastfed within one hour of birth (%),41.0
Children under age 6 months exclusively breastfed (%),(75.0)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),4.4
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),5.4
Children under 5 years who are stunted (height-for-age) (%),35.1
Children under 5 years who are wasted (weight-for-height) (%),27.3
Children under 5 years who are severely wasted (weight-for-height) (%),7.0
Children under 5 years who are underweight (weight-for-age) (%),30.9
Children under 5 years who are overweight (weight-for-height) (%),2.5
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),19.1
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),22.8
Women who have high risk waist-to-hip ratio (≥0.85) (%),46.7
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),75.1
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),53.5
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*
