,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),60.2
1,Population below age 15 years (%),24.5
2,"Sex ratio of the total population (females per 1,000 males)","1,053"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,039"
4,Children under age 5 years whose birth was registered with the civil authority (%),79.7
5,Deaths in the last 3 years registered with the civil authority (%),71.5
6,Population living in households with electricity (%),99.6
7,Population living in households with an improved drinking-water source (%),99.4
8,Population living in households that use an improved sanitation facility(%),68.0
9,Households using clean fuel for cooking (%),81.1
10,Households using iodized salt (%),97.5
11,Households with any usual member covered under a health insurance/financing scheme (%),58.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),19.4
13,Women who are literate (%),63.6
14,Women with 10 or more years of schooling (%),41.5
15,Women age 20-24 years married before age 18 years (%),30.6
16,Births in the 5 years preceding the survey that are third or higher order (%),1.2
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.4
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),92.2
19,Any method (%),62.3
20,Any modern method (%),61.7
21,Female sterilization (%),56.8
22,Male sterilization (%),0.3
23,IUD/PPIUD (%),0.6
24,Pill (%),2.0
25,Condom (%),1.1
26,Injectables (%),0.1
27,Total unmet need(%),8.5
28,Unmet need for spacing (%),4.2
29,Health worker ever talked to female non-users about family planning (%),10.2
30,Current users ever told about side effects of current method (%),47.5
31,Mothers who had an antenatal check-up in the first trimester (%),82.8
32,Mothers who had at least 4 antenatal care visits (%),66.4
33,Mothers whose last birth was protected against neonatal tetanus (%),89.5
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),44.0
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),21.6
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.3
37,delivery (%),84.7
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,718"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,delivery (%),89.0
41,Institutional births (%),93.0
42,Institutional births in public facility (%),63.2
43,Home births that were conducted by skilled health personnel (%),4.4
44,Births attended by skilled health personnel (%),95.1
45,Births delivered by caesarean section (%),43.2
46,Births in a private health facility that were delivered by caesarean section (%),71.6
47,Births in a public health facility that were delivered by caesarean section (%),34.6
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),78.5
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(76.3)
50,Children age 12-23 months who have received BCG (%),95.0
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),81.4
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.2
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),89.7
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),26.5
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),15.8
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),80.5
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),74.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.1
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.0
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),12.3
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(53.1)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(50.7)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(75.0)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.8
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(77.8)
66,Children under age 3 years breastfed within one hour of birth (%),32.2
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),2.7
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),6.4
72,Children under 5 years who are stunted (height-for-age) (%),32.9
73,Children under 5 years who are wasted (weight-for-height) (%),25.0
74,Children under 5 years who are severely wasted (weight-for-height) (%),5.9
75,Children under 5 years who are underweight (weight-for-age) (%),35.1
76,Children under 5 years who are overweight (weight-for-height) (%),3.0
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),20.0
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),29.4
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),38.4
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),67.0
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),47.9
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(63.9)
83,All women age 15-49 years who are anaemic (%),48.3
84,All women age 15-19 years who are anaemic (%),59.5
85,Blood sugar level - high (141-160 mg/dl)(%),4.4
86,Blood sugar level - very high (>160 mg/dl)(%),5.3
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.3
88,Blood sugar level - high (141-160 mg/dl)(%),6.3
89,Blood sugar level - very high (>160 mg/dl) (%),8.7
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.3
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.9
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.3
93,pressure (%),25.7
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),19.3
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),10.3
96,pressure (%),32.6
97,Ever undergone a screening test for cervical cancer (%),1.2
98,Ever undergone a breast examination for breast cancer (%),0.7
99,Ever undergone an oral cavity examination for oral cancer (%),2.4
100,Women age 15 years and above who use any kind of tobacco (%),5.4
101,Men age 15 years and above who use any kind of tobacco (%),27.3
102,Women age 15 years and above who consume alcohol (%),11.2
103,Men age 15 years and above who consume alcohol (%),39.7
