,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),57.4
1,Population below age 15 years (%),18.9
2,"Sex ratio of the total population (females per 1,000 males)","1,032"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",980
4,Children under age 5 years whose birth was registered with the civil authority (%),92.7
5,Deaths in the last 3 years registered with the civil authority (%),70.1
6,Population living in households with electricity (%),99.4
7,Population living in households with an improved drinking-water source (%),99.8
8,Population living in households that use an improved sanitation facility(%),77.9
9,Households using clean fuel for cooking (%),94.5
10,Households using iodized salt (%),93.0
11,Households with any usual member covered under a health insurance/financing scheme (%),63.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(17.0)
13,Women who are literate (%),63.5
14,Women with 10 or more years of schooling (%),42.5
15,Women age 20-24 years married before age 18 years (%),29.5
16,Births in the 5 years preceding the survey that are third or higher order (%),1.2
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),95.5
19,Any method (%),78.2
20,Any modern method (%),77.9
21,Female sterilization (%),75.9
22,Male sterilization (%),0.4
23,IUD/PPIUD (%),0.0
24,Pill (%),0.4
25,Condom (%),0.3
26,Injectables (%),0.0
27,Total unmet need(%),4.0
28,Unmet need for spacing (%),2.3
29,Health worker ever talked to female non-users about family planning (%),16.6
30,Current users ever told about side effects of current method (%),36.9
31,Mothers who had an antenatal check-up in the first trimester (%),92.7
32,Mothers who had at least 4 antenatal care visits (%),70.4
33,Mothers whose last birth was protected against neonatal tetanus (%),87.1
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),67.1
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),38.9
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.7
37,delivery (%),88.6
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,615"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,delivery (%),88.7
41,Institutional births (%),95.9
42,Institutional births in public facility (%),40.5
43,Home births that were conducted by skilled health personnel (%),4.1
44,Births attended by skilled health personnel (%),94.2
45,Births delivered by caesarean section (%),77.0
46,Births in a private health facility that were delivered by caesarean section (%),88.4
47,Births in a public health facility that were delivered by caesarean section (%),69.1
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(70.4)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(79.3)
50,Children age 12-23 months who have received BCG (%),(88.2)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(74.2)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(84.5)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(85.4)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(25.6)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(0.0)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(80.5)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),70.2
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(92.1)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(7.9)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.6
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
