,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),80.8
1,Population below age 15 years (%),25.9
2,"Sex ratio of the total population (females per 1,000 males)",905
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,084"
4,Children under age 5 years whose birth was registered with the civil authority (%),92.1
5,Deaths in the last 3 years registered with the civil authority (%),77.7
6,Population living in households with electricity (%),99.8
7,Population living in households with an improved drinking-water source (%),99.3
8,Population living in households that use an improved sanitation facility(%),70.2
9,Households using clean fuel for cooking (%),98.1
10,Households using iodized salt (%),93.8
11,Households with any usual member covered under a health insurance/financing scheme (%),18.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),10.2
13,Women who are literate (%),80.0
14,Women with 10 or more years of schooling (%),53.9
15,Women age 20-24 years married before age 18 years (%),17.0
16,Births in the 5 years preceding the survey that are third or higher order (%),1.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),8.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),94.8
19,Any method (%),57.4
20,Any modern method (%),47.3
21,Female sterilization (%),17.7
22,Male sterilization (%),0.1
23,IUD/PPIUD (%),6.6
24,Pill (%),3.2
25,Condom (%),17.8
26,Injectables (%),1.1
27,Total unmet need(%),15.7
28,Unmet need for spacing (%),5.8
29,Health worker ever talked to female non-users about family planning (%),13.1
30,Current users ever told about side effects of current method (%),82.4
31,Mothers who had an antenatal check-up in the first trimester (%),55.0
32,Mothers who had at least 4 antenatal care visits (%),50.6
33,Mothers whose last birth was protected against neonatal tetanus (%),87.4
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),55.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),41.7
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),85.6
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),68.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,935"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(5.1)
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),73.4
41,Institutional births (%),89.7
42,Institutional births in public facility (%),60.5
43,Home births that were conducted by skilled health personnel (%),4.7
44,Births attended by skilled health personnel (%),91.3
45,Births delivered by caesarean section (%),21.7
46,Births in a private health facility that were delivered by caesarean section (%),44.1
47,Births in a public health facility that were delivered by caesarean section (%),14.6
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),66.2
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),76.2
50,Children age 12-23 months who have received BCG (%),96.3
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),70.9
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),81.8
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),88.7
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),43.6
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),14.5
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),78.1
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),47.3
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),92.1
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),7.9
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),12.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(52.9)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(21.2)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(77.9)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.7
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),69.5
66,Children under age 3 years breastfed within one hour of birth (%),46.9
67,Children under age 6 months exclusively breastfed (%),(69.8)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),19.5
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),16.8
72,Children under 5 years who are stunted (height-for-age) (%),25.0
73,Children under 5 years who are wasted (weight-for-height) (%),8.9
74,Children under 5 years who are severely wasted (weight-for-height) (%),3.8
75,Children under 5 years who are underweight (weight-for-age) (%),17.4
76,Children under 5 years who are overweight (weight-for-height) (%),2.9
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),9.2
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),41.8
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),61.5
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),67.5
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),47.1
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(48.4)
83,All women age 15-49 years who are anaemic (%),47.2
84,All women age 15-19 years who are anaemic (%),47.7
85,Women - Blood sugar level - high (141-160 mg/dl)(%),4.0
86,Women - Blood sugar level - very high (>160 mg/dl)(%),4.8
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.6
88,Men - Blood sugar level - high (141-160 mg/dl)(%),5.8
89,Men - Blood sugar level - very high (>160 mg/dl) (%),6.1
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.9
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.6
