,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),83.3
1,Population below age 15 years (%),25.4
2,"Sex ratio of the total population (females per 1,000 males)",953
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",932
4,Children under age 5 years whose birth was registered with the civil authority (%),90.7
5,Deaths in the last 3 years registered with the civil authority (%),88.8
6,Population living in households with electricity (%),100.0
7,Population living in households with an improved drinking-water source (%),99.8
8,Population living in households that use an improved sanitation facility(%),76.8
9,Households using clean fuel for cooking (%),99.0
10,Households using iodized salt (%),96.3
11,Households with any usual member covered under a health insurance/financing scheme (%),21.0
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),16.1
13,Women who are literate (%),82.3
14,Women with 10 or more years of schooling (%),56.3
15,Women age 20-24 years married before age 18 years (%),10.5
16,Births in the 5 years preceding the survey that are third or higher order (%),3.4
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.1
19,Any method (%),75.4
20,Any modern method (%),56.6
21,Female sterilization (%),18.9
22,Male sterilization (%),0.1
23,IUD/PPIUD (%),7.5
24,Pill (%),4.1
25,Condom (%),24.6
26,Injectables (%),0.1
27,Total unmet need(%),7.0
28,Unmet need for spacing (%),1.5
29,Health worker ever talked to female non-users about family planning (%),9.2
30,Current users ever told about side effects of current method (%),62.9
31,Mothers who had an antenatal check-up in the first trimester (%),65.3
32,Mothers who had at least 4 antenatal care visits (%),67.1
33,Mothers whose last birth was protected against neonatal tetanus (%),91.7
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),67.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),49.2
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),90.5
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),86.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,750"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),91.4
41,Institutional births (%),91.8
42,Institutional births in public facility (%),57.7
43,Home births that were conducted by skilled health personnel (%),2.8
44,Births attended by skilled health personnel (%),93.9
45,Births delivered by caesarean section (%),22.5
46,Births in a private health facility that were delivered by caesarean section (%),41.6
47,Births in a public health facility that were delivered by caesarean section (%),14.4
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),67.5
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(78.4)
50,Children age 12-23 months who have received BCG (%),98.5
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),76.0
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),76.3
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),89.7
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),33.8
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),11.0
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),74.5
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),47.6
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),85.0
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),13.6
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),10.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(62.8)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(14.8)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(83.4)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),7.3
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),82.2
66,Children under age 3 years breastfed within one hour of birth (%),47.8
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),15.9
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),12.9
72,Children under 5 years who are stunted (height-for-age) (%),36.1
73,Children under 5 years who are wasted (weight-for-height) (%),8.4
74,Children under 5 years who are severely wasted (weight-for-height) (%),3.5
75,Children under 5 years who are underweight (weight-for-age) (%),19.0
76,Children under 5 years who are overweight (weight-for-height) (%),2.1
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.5
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),40.6
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),59.6
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),68.5
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),57.4
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(49.2)
83,All women age 15-49 years who are anaemic (%),57.2
84,All women age 15-19 years who are anaemic (%),54.7
85,Women - Blood sugar level - high (141-160 mg/dl)(%),4.5
86,Women - Blood sugar level - very high (>160 mg/dl)(%),6.2
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.9
88,Men - Blood sugar level - high (141-160 mg/dl)(%),5.2
89,Men - Blood sugar level - very high (>160 mg/dl) (%),7.5
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.4
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.3
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.7
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),23.8
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),23.3
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),9.1
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),34.1
97,Ever undergone a screening test for cervical cancer (%),0.4
98,Ever undergone a breast examination for breast cancer (%),0.0
99,Ever undergone an oral cavity examination for oral cancer (%),1.9
100,Women age 15 years and above who use any kind of tobacco (%),2.0
101,Men age 15 years and above who use any kind of tobacco (%),28.5
102,Women age 15 years and above who consume alcohol (%),0.5
103,Men age 15 years and above who consume alcohol (%),24.3
