Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),83.5
Population below age 15 years (%),22.9
"Sex ratio of the total population (females per 1,000 males)",922
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",985
Children under age 5 years whose birth was registered with the civil authority (%),98.3
Deaths in the last 3 years registered with the civil authority (%),87.5
Population living in households with electricity (%),99.9
Population living in households with an improved drinking-water source (%),100.0
Population living in households that use an improved sanitation facility(%),89.5
Households using clean fuel for cooking (%),97.7
Households using iodized salt (%),98.6
Households with any usual member covered under a health insurance/financing scheme (%),28.7
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(23.3)
Women who are literate (%),86.1
Women with 10 or more years of schooling (%),61.6
Women age 20-24 years married before age 18 years (%),6.6
Births in the 5 years preceding the survey that are third or higher order (%),1.1
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.5
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),97.2
Any method (%),83.2
Any modern method (%),62.0
Female sterilization (%),21.9
Male sterilization (%),0.2
IUD/PPIUD (%),6.1
Pill (%),1.7
Condom (%),31.5
Injectables (%),0.4
Total unmet need(%),2.6
Unmet need for spacing (%),0.8
Health worker ever talked to female non-users about family planning (%),10.2
Current users ever told about side effects of current method (%),(64.4)
Mothers who had an antenatal check-up in the first trimester (%),82.7
Mothers who had at least 4 antenatal care visits (%),85.6
Mothers whose last birth was protected against neonatal tetanus (%),97.8
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),70.8
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),49.2
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),82.9
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,426"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(0.4)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),81.3
Institutional births (%),82.0
Institutional births in public facility (%),52.6
Home births that were conducted by skilled health personnel (%),7.1
Births attended by skilled health personnel (%),90.0
Births delivered by caesarean section (%),24.5
Births in a private health facility that were delivered by caesarean section (%),50.9
Births in a public health facility that were delivered by caesarean section (%),18.2
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(86.2)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(85.1)
Children age 12-23 months who have received BCG (%),(100.0)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(88.5)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(93.0)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(95.4)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(48.1)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(49.3)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(91.1)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),37.8
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(80.4)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(19.6)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),9.5
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.9
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*
Children under age 3 years breastfed within one hour of birth (%),46.6
Children under age 6 months exclusively breastfed (%),(70.9)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),(19.9)
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),17.8
Children under 5 years who are stunted (height-for-age) (%),33.4
Children under 5 years who are wasted (weight-for-height) (%),9.4
Children under 5 years who are severely wasted (weight-for-height) (%),1.7
Children under 5 years who are underweight (weight-for-age) (%),18.9
Children under 5 years who are overweight (weight-for-height) (%),7.1
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.1
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),40.0
Women who have high risk waist-to-hip ratio (≥0.85) (%),75.6
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),65.4
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),46.3
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*
All women age 15-49 years who are anaemic (%),46.2
All women age 15-19 years who are anaemic (%),42.0
Women - Blood sugar level - high (141-160 mg/dl)(%),4.8
Women - Blood sugar level - very high (>160 mg/dl)(%),6.5
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.1
Men - Blood sugar level - high (141-160 mg/dl)(%),5.8
Men - Blood sugar level - very high (>160 mg/dl) (%),9.4
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.9
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.2
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.5
