,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),82.7
1,Population below age 15 years (%),25.8
2,"Sex ratio of the total population (females per 1,000 males)",906
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",936
4,Children under age 5 years whose birth was registered with the civil authority (%),95.6
5,Deaths in the last 3 years registered with the civil authority (%),91.3
6,Population living in households with electricity (%),99.9
7,Population living in households with an improved drinking-water source (%),98.2
8,Population living in households that use an improved sanitation facility(%),89.5
9,Households using clean fuel for cooking (%),99.7
10,Households using iodized salt (%),96.3
11,Households with any usual member covered under a health insurance/financing scheme (%),19.4
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),14.6
13,Women who are literate (%),83.8
14,Women with 10 or more years of schooling (%),59.8
15,Women age 20-24 years married before age 18 years (%),5.0
16,Births in the 5 years preceding the survey that are third or higher order (%),0.6
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.6
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),98.6
19,Any method (%),79.0
20,Any modern method (%),57.8
21,Female sterilization (%),12.9
22,Male sterilization (%),0.3
23,IUD/PPIUD (%),6.8
24,Pill (%),1.7
25,Condom (%),34.2
26,Injectables (%),0.2
27,Total unmet need(%),5.1
28,Unmet need for spacing (%),1.7
29,Health worker ever talked to female non-users about family planning (%),20.5
30,Current users ever told about side effects of current method (%),72.4
31,Mothers who had an antenatal check-up in the first trimester (%),81.6
32,Mothers who had at least 4 antenatal care visits (%),86.2
33,Mothers whose last birth was protected against neonatal tetanus (%),95.5
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),78.1
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),55.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.3
37,delivery (%),82.6
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),1991
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,delivery (%),85.9
41,Institutional births (%),89.2
42,Institutional births in public facility (%),68.3
43,Home births that were conducted by skilled health personnel (%),1.1
44,Births attended by skilled health personnel (%),89.8
45,Births delivered by caesarean section (%),23.5
46,Births in a private health facility that were delivered by caesarean section (%),48.6
47,Births in a public health facility that were delivered by caesarean section (%),19.5
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),86.4
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),83.2
50,Children age 12-23 months who have received BCG (%),95.7
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),86.4
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),93.4
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),91.6
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),31.3
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),43.6
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),89.2
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),42.8
