,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),83.9
1,Population below age 15 years (%),22.1
2,"Sex ratio of the total population (females per 1,000 males)",949
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",951
4,Children under age 5 years whose birth was registered with the civil authority (%),95.7
5,Deaths in the last 3 years registered with the civil authority (%),93.7
6,Population living in households with electricity (%),99.7
7,Population living in households with an improved drinking-water source (%),100.0
8,Population living in households that use an improved sanitation facility(%),83.8
9,Households using clean fuel for cooking (%),99.1
10,Households using iodized salt (%),96.8
11,Households with any usual member covered under a health insurance/financing scheme (%),24.5
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),12.7
13,Women who are literate (%),84.9
14,Women with 10 or more years of schooling (%),65.5
15,Women age 20-24 years married before age 18 years (%),7.5
16,Births in the 5 years preceding the survey that are third or higher order (%),1.4
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.6
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),98.7
19,Any method (%),84.1
20,Any modern method (%),65.2
21,Female sterilization (%),18.0
22,Male sterilization (%),0.4
23,IUD/PPIUD (%),6.9
24,Pill (%),3.5
25,Condom (%),34.3
26,Injectables (%),0.4
27,Total unmet need(%),2.6
28,Unmet need for spacing (%),1.0
29,Health worker ever talked to female non-users about family planning (%),26.1
30,Current users ever told about side effects of current method (%),(86.9)
31,Mothers who had an antenatal check-up in the first trimester (%),84.2
32,Mothers who had at least 4 antenatal care visits (%),83.2
33,Mothers whose last birth was protected against neonatal tetanus (%),96.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),78.8
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),53.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.2
37,delivery (%),92.3
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,186"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,delivery (%),92.0
41,Institutional births (%),96.1
42,Institutional births in public facility (%),60.6
43,Home births that were conducted by skilled health personnel (%),1.7
44,Births attended by skilled health personnel (%),97.8
45,Births delivered by caesarean section (%),23.8
46,Births in a private health facility that were delivered by caesarean section (%),35.1
47,Births in a public health facility that were delivered by caesarean section (%),18.6
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(64.6)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(62.3)
50,Children age 12-23 months who have received BCG (%),(90.0)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(72.7)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(78.3)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(83.3)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(45.9)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(35.4)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(78.3)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),74.1
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(77.6)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(22.4)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),10.6
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(89.8)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(67.1)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(87.6)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.9
65,health provider (%),(71.3)
66,Children under age 3 years breastfed within one hour of birth (%),70.1
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),(13.5)
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),17.0
72,Children under 5 years who are stunted (height-for-age) (%),21.7
73,Children under 5 years who are wasted (weight-for-height) (%),14.7
74,Children under 5 years who are severely wasted (weight-for-height) (%),7.1
75,Children under 5 years who are underweight (weight-for-age) (%),20.4
76,Children under 5 years who are overweight (weight-for-height) (%),4.6
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),7.7
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),33.0
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),80.7
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),72.7
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),48.3
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(35.1)
83,All women age 15-49 years who are anaemic (%),47.9
84,All women age 15-19 years who are anaemic (%),55.0
85,Blood sugar level - high (141-160 mg/dl)(%),3.7
86,Blood sugar level - very high (>160 mg/dl)(%),5.0
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.9
88,Blood sugar level - high (141-160 mg/dl)(%),4.8
89,Blood sugar level - very high (>160 mg/dl) (%),4.3
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.3
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.8
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.3
93,pressure (%),23.7
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),19.5
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.6
96,pressure (%),27.8
97,Ever undergone a screening test for cervical cancer (%),0.6
98,Ever undergone a breast examination for breast cancer (%),0.2
99,Ever undergone an oral cavity examination for oral cancer (%),0.5
100,Women age 15 years and above who use any kind of tobacco (%),1.6
101,Men age 15 years and above who use any kind of tobacco (%),20.8
102,Women age 15 years and above who consume alcohol (%),0.8
103,Men age 15 years and above who consume alcohol (%),19.5
