,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),84.4
1,Population below age 15 years (%),24.6
2,"Sex ratio of the total population (females per 1,000 males)",885
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",820
4,Children under age 5 years whose birth was registered with the civil authority (%),95.5
5,Deaths in the last 3 years registered with the civil authority (%),94.7
6,Population living in households with electricity (%),99.5
7,Population living in households with an improved drinking-water source (%),98.4
8,Population living in households that use an improved sanitation facility(%),78.0
9,Households using clean fuel for cooking (%),99.1
10,Households using iodized salt (%),98.1
11,Households with any usual member covered under a health insurance/financing scheme (%),30.7
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(9.5)
13,Women who are literate (%),83.0
14,Women with 10 or more years of schooling (%),57.2
15,Women age 20-24 years married before age 18 years (%),12.8
16,Births in the 5 years preceding the survey that are third or higher order (%),1.9
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.3
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.7
19,Any method (%),81.9
20,Any modern method (%),60.3
21,Female sterilization (%),17.3
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),5.8
24,Pill (%),2.4
25,Condom (%),32.8
26,Injectables (%),0.0
27,Total unmet need(%),2.6
28,Unmet need for spacing (%),0.7
29,Health worker ever talked to female non-users about family planning (%),23.3
30,Current users ever told about side effects of current method (%),87.6
31,Mothers who had an antenatal check-up in the first trimester (%),85.7
32,Mothers who had at least 4 antenatal care visits (%),89.7
33,Mothers whose last birth was protected against neonatal tetanus (%),97.1
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),76.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),53.9
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.6
37,delivery (%),90.0
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,735"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,delivery (%),88.4
41,Institutional births (%),92.6
42,Institutional births in public facility (%),68.2
43,Home births that were conducted by skilled health personnel (%),2.4
44,Births attended by skilled health personnel (%),94.9
45,Births delivered by caesarean section (%),25.2
46,Births in a private health facility that were delivered by caesarean section (%),47.2
47,Births in a public health facility that were delivered by caesarean section (%),20.1
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),74.6
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(80.9)
50,Children age 12-23 months who have received BCG (%),95.7
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),78.7
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),81.2
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),90.4
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),37.0
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),40.8
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),77.8
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),58.7
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),89.1
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),10.9
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),14.2
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(85.7)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(48.3)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(92.4)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.5
65,health provider (%),(75.2)
66,Children under age 3 years breastfed within one hour of birth (%),60.3
67,Children under age 6 months exclusively breastfed (%),(54.2)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),22.8
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),23.0
72,Children under 5 years who are stunted (height-for-age) (%),35.2
73,Children under 5 years who are wasted (weight-for-height) (%),15.7
74,Children under 5 years who are severely wasted (weight-for-height) (%),4.3
75,Children under 5 years who are underweight (weight-for-age) (%),29.9
76,Children under 5 years who are overweight (weight-for-height) (%),6.1
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.9
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),41.3
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),79.1
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),65.9
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),42.6
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(37.2)
83,All women age 15-49 years who are anaemic (%),42.5
84,All women age 15-19 years who are anaemic (%),44.6
85,Blood sugar level - high (141-160 mg/dl)(%),4.6
86,Blood sugar level - very high (>160 mg/dl)(%),5.1
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.7
88,Blood sugar level - high (141-160 mg/dl)(%),4.1
