Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Population and Household Profile,,Urban  Rural,Total,Total
Female population age 6 years and above who ever attended school (%),86.8,(69.2),86.7,83.7
Population below age 15 years (%),23.2,32.3,23.3,22.9
"Sex ratio of the total population (females per 1,000 males)",918,868,917,934
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",820,*,838,981
Children under age 5 years whose birth was registered with the civil authority (%),98.0,*,97.6,95.1
Deaths in the last 3 years registered with the civil authority (%),93.6,*,93.6,na
Population living in households with electricity (%),99.9,100.0,99.9,99.6
Population living in households with an improved drinking-water source (%),99.1,100.0,99.1,100.0
Population living in households that use an improved sanitation facility(%),85.4,47.6,85.0,83.7
Households using clean fuel for cooking (%),95.8,*,95.8,93.9
Households using iodized salt (%),96.8,*,96.8,99.0
Households with any usual member covered under a health insurance/financing scheme (%),32.3,*,32.2,21.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.4,*,6.3,na
Women who are literate (%),78.9,(57.7),78.7,na
Men who are literate (%),90.2,*,90.2,na
Women with 10 or more years of schooling (%),59.9,(30.8),59.6,59.2
Men with 10 or more years of schooling (%),64.5,*,64.5,65.9
Women who have ever used the internet (%),75.2,*,75.2,na
Men who have ever used the internet (%),91.9,*,91.9,na
Women age 20-24 years married before age 18 years (%),9.8,*,9.7,12.7
Men age 25-29 years married before age 21 years (%),*,*,*,*
Total fertility rate (children per woman),1.4,*,1.4,1.6
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.8,*,0.8,2.1
Adolescent fertility rate for women age 15-19 years,9,0,9,20
Neonatal mortality rate (NNMR),*,*,*,*
Infant mortality rate (IMR),*,*,*,*
Under-five mortality rate (U5MR),*,*,*,*
Any method (%),77.5,*,77.4,74.0
Any modern method (%),55.8,*,55.6,58.2
Female sterilization (%),19.0,*,19.0,20.6
Male sterilization (%),0.3,*,0.3,1.3
IUD/PPIUD (%),4.3,*,4.2,5.4
Pill (%),0.4,*,0.5,3.6
Condom (%),31.2,*,31.1,27.3
Injectables (%),0.0,*,0.0,0.0
Total unmet need(%),7.0,*,6.9,6.3
Unmet need for spacing (%),2.5,*,2.5,1.8
Health worker ever talked to female non-users about family planning (%),34.3,*,34.0,25.1
Current users ever told about side effects of current method (%),(91.5),*,(91.7),62.6
Mothers who had an antenatal check-up in the first trimester (%),82.2,*,82.3,67.4
Mothers who had at least 4 antenatal care visits (%),79.1,*,78.7,64.5
Mothers whose last birth was protected against neonatal tetanus (%),93.1,*,93.2,95.1
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),73.9,*,73.9,44.9
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),64.3,*,64.5,29.8
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.4,*,97.2,98.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.5,*,90.6,89.0
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,586",*,"5,546","2,357"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*,*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.4,*,89.3,na
Institutional births (%),97.0,*,96.9,91.6
Institutional births in public facility (%),83.4,*,83.2,72.4
Home births that were conducted by skilled health personnel (%),0.0,*,0.2,1.7
Births attended by skilled health personnel (%),97.0,*,97.0,93.3
Births delivered by caesarean section (%),31.7,*,31.3,22.6
Births in a private health facility that were delivered by caesarean section (%),(44.8),*,(44.3),(44.0)
Births in a public health facility that were delivered by caesarean section (%),30.6,*,30.4,19.5
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(81.7),*,(80.9),(79.5)
Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),(83.6),*,(82.8),(93.2)
Children age 12-23 months who have received BCG (%),(96.7),*,(96.8),(95.9)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(81.7),*,(80.9),(79.5)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(88.7),*,(87.9),(95.9)
Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),(88.7),*,(87.9),(95.9)
Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),(15.1),*,(15.0),na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(85.7),*,(84.9),na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(85.7),*,(84.9),(82.7)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.4,*,72.6,56.1
Children age 12-23 months who received most of their vaccinations in a public health  facility (%),(92.8),*,(92.9),(93.1)
Children age 12-23 months who received most of their vaccinations in a private health  facility (%),(7.2),*,(7.1),(6.9)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.4,*,4.3,4.6
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*,*,*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*,*,*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*,*,*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.3,*,0.3,2.8
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*,*,*
Children under age 3 years breastfed within one hour of birth (%),63.7,*,63.7,33.5
Children under age 6 months exclusively breastfed (%),*,*,*,*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*,*,*
Breastfeeding children age 6-23 months receiving an adequate diet (%),(22.9),*,(22.7),(0.0)
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*,*,*
Total children age 6-23 months receiving an adequate diet (%),(19.1),*,(19.0),0.0
Children under 5 years who are stunted (height-for-age) (%),25.2,*,25.3,28.7
Children under 5 years who are wasted (weight-for-height) (%),8.3,*,8.4,10.9
Children under 5 years who are severely wasted (weight-for-height) (%),2.4,*,2.3,3.9
Children under 5 years who are underweight (weight-for-age) (%),20.2,*,20.6,24.5
Children under 5 years who are overweight (weight-for-height) (%),1.9,*,1.9,1.1
