,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),93.3,94.6
1,Population below age 15 years (%),27.2,32.6
2,"Sex ratio of the total population (females per 1,000 males)",944,"1,009"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",726,"1,014"
4,Children under age 5 years whose birth was registered with the civil authority (%),100.0,98.1
5,Deaths in the last 3 years registered with the civil authority (%),98.3,na
6,Population living in households with electricity (%),100.0,99.9
7,Population living in households with an improved drinking-water source (%),98.6,97.4
8,Population living in households that use an improved sanitation facility(%),98.3,87.4
9,Households using clean fuel for cooking (%),79.4,52.2
10,Households using iodized salt (%),99.8,99.0
11,Households with any usual member covered under a health insurance/financing scheme (%),64.9,58.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),4.9,na
13,Women who are literate (%),97.7,na
14,Women with 10 or more years of schooling (%),47.8,30.3
15,Women age 20-24 years married before age 18 years (%),11.0,17.9
16,Births in the 5 years preceding the survey that are third or higher order (%),1.4,2.7
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.6,7.7
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),95.0,91.4
19,Any method (%),50.0,32.4
20,Any modern method (%),49.6,32.3
21,Female sterilization (%),22.5,12.7
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),4.2,4.1
24,Pill (%),19.6,14.5
25,Condom (%),2.5,1.1
26,Injectables (%),0.2,0.0
27,Total unmet need(%),11.2,24.3
28,Unmet need for spacing (%),8.3,15.8
29,Health worker ever talked to female non-users about family planning (%),24.9,18.8
30,Current users ever told about side effects of current method (%),70.0,51.2
31,Mothers who had an antenatal check-up in the first trimester (%),80.0,60.1
32,Mothers who had at least 4 antenatal care visits (%),63.4,55.9
33,Mothers whose last birth was protected against neonatal tetanus (%),85.9,85.8
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),74.3,52.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),12.5,2.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,98.1
37,days of delivery (%),72.3,66.0
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,336","3,615"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,1.2
40,days of delivery (%),52.1,na
41,Institutional births (%),96.7,81.1
42,Institutional births in public facility (%),91.5,74.9
43,Home births that were conducted by skilled health personnel (%),1.6,5.5
44,Births attended by skilled health personnel (%),97.5,86.8
45,Births delivered by caesarean section (%),6.6,8.7
46,Births in a private health facility that were delivered by caesarean section (%),*,41.6
47,Births in a public health facility that were delivered by caesarean section (%),5.8,8.2
48,mother's recall (%),(85.3),49.1
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(87.0),64.2
50,Children age 12-23 months who have received BCG (%),(97.6),72.6
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(87.7),56.9
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(90.5),59.6
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(92.7),64.6
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(30.4),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(2.4),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(90.5),57.5
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),63.1,76.9
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),99.2
