,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),89.8,91.7
2,Population below age 15 years (%),24.6,28.2
3,"Sex ratio of the total population (females per 1,000 males)","1,004",944
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",876,836
5,Children under age 5 years whose birth was registered with the civil authority (%),100.0,99.6
6,Deaths in the last 3 years registered with the civil authority (%),(86.6),na
7,Population living in households with electricity (%),98.0,99.2
8,Population living in households with an improved drinking-water source (%),96.0,94.1
9,Population living in households that use an improved sanitation facility(%),95.6,78.7
10,Households using clean fuel for cooking (%),79.9,52.2
11,Households using iodized salt (%),99.0,99.6
12,Households with any usual member covered under a health insurance/financing scheme (%),46.5,52.2
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),2.0,na
15,Women who are literate (%),91.6,na
16,Women with 10 or more years of schooling (%),46.3,34.9
18,Women age 20-24 years married before age 18 years (%),4.8,17.2
19,Births in the 5 years preceding the survey that are third or higher order (%),0.8,2.7
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.8,10.1
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),91.4,90.1
23,Any method (%),33.0,29.0
24,Any modern method (%),33.0,29.0
25,Female sterilization (%),18.8,13.0
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),1.7,3.6
28,Pill (%),10.2,11.8
29,Condom (%),2.3,0.5
30,Injectables (%),0.0,0.1
32,Total unmet need(%),15.4,19.3
33,Unmet need for spacing (%),12.5,11.8
35,Health worker ever talked to female non-users about family planning (%),13.0,19.8
36,Current users ever told about side effects of current method (%),(62.8),57.4
38,Children under age 3 years breastfed within one hour of birth (%),63.8,60.3
39,Children under age 6 months exclusively breastfed (%),*,(66.0)
40,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(66.5)
41,Breastfeeding children age 6-23 months receiving an adequate diet  (%),7.4,11.6
42,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
43,Total children age 6-23 months receiving an adequate diet  (%),9.4,11.7
44,Children under 5 years who are stunted (height-for-age) (%),26.5,25.3
45,Children under 5 years who are wasted (weight-for-height) (%),9.5,6.1
46,Children under 5 years who are severely wasted (weight-for-height) (%),3.3,1.7
47,Children under 5 years who are underweight (weight-for-age) (%),11.1,13.1
48,Children under 5 years who are overweight (weight-for-height) (%),10.1,3.2
50,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),6.2,9.8
51,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),20.6,20.3
52,Women who have high risk waist-to-hip ratio (≥0.85) (%),48.9,na
54,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),45.7,26.9
55,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),35.1,37.0
56,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(27.5),37.6
57,All women age 15-49 years who are anaemic (%),34.9,37.1
58,All women age 15-19 years who are anaemic (%),34.2,33.1
61,Women - Blood sugar level - high (141-160 mg/dl)(%),7.4,na
62,Women - Blood sugar level - very high (>160 mg/dl)(%),4.9,na
63,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.5,na
65,Men - Blood sugar level - high (141-160 mg/dl)(%),9.9,na
66,Men - Blood sugar level - very high (>160 mg/dl) (%),6.0,na
67,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.1,na
70,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),7.7,na
71,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.6,na
73,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),13.9,na
75,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.7,na
76,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.2,na
78,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.0,na
80,Ever undergone a screening test for cervical cancer (%),2.2,na
81,Ever undergone a breast examination for breast cancer (%),0.4,na
82,Ever undergone an oral cavity examination for oral cancer (%),0.2,na
84,Women age 15 years and above who use any kind of tobacco (%),62.8,na
85,Men age 15 years and above who use any kind of tobacco (%),75.0,na
86,Women age 15 years and above who consume alcohol (%),0.9,na
87,Men age 15 years and above who consume alcohol (%),19.2,na
