Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Female population age 6 years and above who ever attended school (%),97.0,94.1,95.5,95.4
Population below age 15 years (%),20.7,20.5,20.6,20.2
"Sex ratio of the total population (females per 1,000 males)","1,138","1,105","1,121","1,049"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",983,922,951,"1,047"
Children under age 5 years whose birth was registered with the civil authority (%),99.5,98.5,99.0,97.7
Deaths in the last 3 years registered with the civil authority (%),98.0,96.9,97.4,na
Population living in households with electricity (%),99.9,99.3,99.6,99.2
Population living in households with an improved drinking-water source (%),96.4,93.6,94.9,94.8
Population living in households that use an improved sanitation facility(%),99.0,98.5,98.7,98.2
Households using clean fuel for cooking (%),78.5,66.3,72.1,57.4
Households using iodized salt (%),99.6,99.2,99.3,98.4
Households with any usual member covered under a health insurance/financing scheme (%),47.2,55.4,51.5,47.7
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),33.1,25.6,29.0,na
Women who are literate (%),99.1,97.5,98.3,na
Men who are literate (%),99.2,97.4,98.2,na
Women with 10 or more years of schooling (%),78.8,75.3,77.0,72.2
Men with 10 or more years of schooling (%),76.8,70.2,73.3,70.5
Women who have ever used the internet (%),64.9,57.5,61.1,na
Men who have ever used the internet (%),78.3,74.2,76.1,na
Women age 20-24 years married before age 18 years (%),4.1,8.2,6.3,7.6
Men age 25-29 years married before age 21 years (%),0.0,2.5,1.4,2.8
Total fertility rate (children per woman),1.8,1.8,1.8,1.6
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.8,3.0,2.4,3.0
Adolescent fertility rate for women age 15-19 years,15,21,18,21
Neonatal mortality rate (NNMR),2.6,4.2,3.4,4.4
Infant mortality rate (IMR),3.5,5.2,4.4,5.6
Under-five mortality rate (U5MR),3.9,6.4,5.2,7.1
Any method (%),61.4,60.1,60.7,53.1
Any modern method (%),50.6,54.8,52.8,50.3
Female sterilization (%),43.6,49.4,46.6,45.8
Male sterilization (%),0.0,0.1,0.1,0.1
IUD/PPIUD (%),1.6,1.5,1.5,1.6
Pill (%),0.5,0.3,0.4,0.2
Condom (%),4.0,2.9,3.4,2.6
Injectables (%),0.0,0.0,0.0,0.0
Total unmet need(%),13.0,12.0,12.5,13.7
Unmet need for spacing (%),7.2,6.8,7.0,8.3
Health worker ever talked to female non-users about family planning (%),13.7,16.1,15.0,17.0
Current users ever told about side effects of current method (%),62.2,62.1,62.2,55.6
Mothers who had an antenatal check-up in the first trimester (%),93.9,93.3,93.6,95.1
Mothers who had at least 4 antenatal care visits (%),79.3,78.0,78.6,90.1
