Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Female population age 6 years and above who ever attended school (%),92.4,79.3,81.0,79.0
Population below age 15 years (%),20.7,22.0,21.8,24.6
"Sex ratio of the total population (females per 1,000 males)",936,"1,057","1,040","1,078"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",843,880,875,937
Children under age 5 years whose birth was registered with the civil authority (%),97.9,97.9,97.9,95.3
Deaths in the last 3 years registered with the civil authority (%),95.8,93.7,94.0,na
Population living in households with electricity (%),99.0,99.5,99.5,99.5
Population living in households with an improved drinking-water source (%),98.4,95.9,96.2,94.9
Population living in households that use an improved sanitation facility(%),85.0,81.3,81.8,72.3
Households using clean fuel for cooking (%),94.7,44.5,51.7,36.7
Households using iodized salt (%),99.0,99.1,99.1,99.1
Households with any usual member covered under a health insurance/financing scheme (%),37.1,34.1,34.5,25.8
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),12.3,3.4,4.6,na
Women who are literate (%),95.0,91.2,91.7,na
Men who are literate (%),91.7,95.4,94.9,na
Women with 10 or more years of schooling (%),79.8,63.8,65.9,59.4
Men with 10 or more years of schooling (%),78.7,70.1,71.3,71.2
Women who have ever used the internet (%),78.9,45.2,49.7,na
Men who have ever used the internet (%),83.7,65.1,67.9,na
Women age 20-24 years married before age 18 years (%),7.2,5.1,5.4,8.6
Men age 25-29 years married before age 21 years (%),*,4.1,4.6,7.3
Total fertility rate (children per woman),1.4,1.7,1.7,1.9
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.5,3.3,3.4,2.6
Adolescent fertility rate for women age 15-19 years,21,22,22,25
Neonatal mortality rate (NNMR),*,21.3,20.5,25.5
Infant mortality rate (IMR),*,27.1,25.6,34.3
Under-five mortality rate (U5MR),*,30.9,28.9,37.6
Any method (%),75.2,74.1,74.2,57.0
Any modern method (%),59.3,64.0,63.4,52.1
Female sterilization (%),21.7,40.2,37.7,34.5
Male sterilization (%),2.5,3.5,3.3,2.4
IUD/PPIUD (%),0.9,1.2,1.1,0.9
Pill (%),2.0,1.4,1.5,1.5
Condom (%),31.9,17.3,19.2,12.7
Injectables (%),0.0,0.1,0.1,0.1
Total unmet need(%),9.3,7.7,7.9,15.7
Unmet need for spacing (%),3.7,2.6,2.8,4.8
Health worker ever talked to female non-users about family planning (%),17.3,19.5,19.3,15.8
Current users ever told about side effects of current method (%)Note: Major indicators are highlighted in grey.,(67.2),57.1,58.1,40.1
Mothers who had an antenatal check-up in the first trimester (%),81.6,71.2,72.4,70.5
Mothers who had at least 4 antenatal care visits (%),77.3,69.3,70.3,69.1
Mothers whose last birth was protected against neonatal tetanus (%),86.7,90.5,90.0,86.2
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),72.9,66.4,67.2,49.4
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),44.4,42.8,43.0,22.7
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.8,98.8,98.7,95.4
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.8,86.0,86.3,70.2
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"9,411","3,138","3,760","3,329"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,8.2,7.6,1.5
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.5,85.5,86.0,na
Institutional births (%),93.1,87.6,88.2,76.4
Institutional births in public facility (%),64.2,72.7,71.7,61.6
Home births that were conducted by skilled health personnel (%),0.8,1.8,1.7,3.4
Births attended by skilled health personnel (%),90.3,86.6,87.1,78.9
Births delivered by caesarean section (%),26.2,20.3,21.0,16.7
Births in a private health facility that were delivered by caesarean section (%),46.7,52.6,51.4,44.4
Births in a public health facility that were delivered by caesarean section (%),19.8,17.2,17.4,16.4
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(94.1),88.5,89.3,69.5
Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),(100.0),95.8,96.4,85.4
Children age 12-23 months who have received BCG (%),(97.7),98.2,98.2,94.8
Children age 12-23 months who have received 3 doses of polio vaccine (%),(95.4),89.3,90.1,82.4
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(94.1),96.4,96.1,85.0
Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),(96.4),95.9,95.9,87.5
Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),(30.6),44.2,42.4,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(73.4),90.0,87.9,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(94.1),96.6,96.3,74.1
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),71.6,78.1,77.3,72.1
Children age 12-23 months who received most of their vaccinations in a public health  facility (%),(93.6),98.1,97.5,97.9
Children age 12-23 months who received most of their vaccinations in a private health  facility (%),(5.1),1.3,1.8,1.9
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.6,4.9,4.7,6.6
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,74.6,73.7,62.7
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,19.8,19.5,15.0
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,69.5,67.9,67.7
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.0,1.1,1.5,1.6
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(67.3),77.9,76.2,78.4
Children under age 3 years breastfed within one hour of birth (%),43.8,45.3,45.1,41.1
Children under age 6 months exclusively breastfed (%),*,71.3,69.9,67.2
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,69.5,68.3,52.9
Breastfeeding children age 6-23 months receiving an adequate diet  (%),(15.1),18.5,18.0,11.2
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,23.2,21.6,10.0
Total children age 6-23 months receiving an adequate diet  (%),14.4,19.7,19.0,10.9
Children under 5 years who are stunted (height-for-age) (%),27.0,31.3,30.8,26.3
Children under 5 years who are wasted (weight-for-height) (%),16.2,17.6,17.4,13.7
Children under 5 years who are severely wasted (weight-for-height) (%),6.3,7.0,6.9,3.9
Children under 5 years who are underweight (weight-for-age) (%),24.6,25.6,25.5,21.2
Children under 5 years who are overweight (weight-for-height) (%),5.4,5.7,5.7,1.9
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),9.8,14.5,13.9,16.2
Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),6.6,12.7,11.8,18.0
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),38.3,29.2,30.4,28.6
Men who are overweight or obese (BMI ≥25.0 kg/m) (%),35.7,29.8,30.6,22.0
Women who have high risk waist-to-hip ratio (≥0.85) (%),60.3,62.1,61.9,na
Men who have high risk waist-to-hip ratio (≥0.90) (%),61.2,50.8,52.3,na
