,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),83.8,80.3
1,Population below age 15 years (%),20.1,23.7
2,"Sex ratio of the total population (females per 1,000 males)","1,106","1,055"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",963,809
4,Children under age 5 years whose birth was registered with the civil authority (%),99.6,99.2
5,Deaths in the last 3 years registered with the civil authority (%),91.3,na
6,Population living in households with electricity (%),100.0,99.8
7,Population living in households with an improved drinking-water source (%),100.0,99.9
8,Population living in households that use an improved sanitation facility(%),84.6,61.9
9,Households using clean fuel for cooking (%),95.0,86.9
10,Households using iodized salt (%),93.8,93.6
11,Households with any usual member covered under a health insurance/financing scheme (%),31.3,31.2
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(20.9),na
13,Women who are literate (%),90.1,na
14,Women with 10 or more years of schooling (%),67.2,59.5
15,Women age 20-24 years married before age 18 years (%),5.7,9.9
16,Births in the 5 years preceding the survey that are third or higher order (%),0.6,1.5
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.3,3.1
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),99.2,98.7
19,Any method (%),66.5,65.0
20,Any modern method (%),62.1,64.6
21,Female sterilization (%),53.3,60.9
22,Male sterilization (%),0.3,0.0
23,IUD/PPIUD (%),1.9,2.9
24,Pill (%),0.5,0.4
25,Condom (%),5.2,0.3
26,Injectables (%),0.5,0.0
27,Total unmet need(%),11.4,7.3
28,Unmet need for spacing (%),3.1,4.2
29,Health worker ever talked to female non-users about family planning (%),24.6,35.6
30,Current users ever told about side effects of current method (%),60.3,70.8
31,Mothers who had an antenatal check-up in the first trimester (%),82.2,83.6
32,Mothers who had at least 4 antenatal care visits (%),87.0,88.6
33,Mothers whose last birth was protected against neonatal tetanus (%),91.8,83.6
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),85.3,65.2
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),64.1,34.3
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.9,98.6
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),92.1,87.8
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,317","1,997"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),95.0,na
41,Institutional births (%),99.5,100.0
42,Institutional births in public facility (%),81.9,87.3
43,Home births that were conducted by skilled health personnel (%),0.5,0.0
44,Births attended by skilled health personnel (%),100.0,100.0
45,Births delivered by caesarean section (%),32.1,28.9
46,Births in a private health facility that were delivered by caesarean section (%),(33.5),(31.6)
47,Births in a public health facility that were delivered by caesarean section (%),32.0,28.5
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),(80.1),91.9
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(87.6),(93.6)
50,Children age 12-23 months who have received BCG (%),(95.5),100.0
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(86.1),96.5
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(90.7),97.0
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(95.5),96.2
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(57.7),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(4.5),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(86.5),90.2
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),82.6,76.7
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(97.9),94.2
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(2.2),5.8
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.5,12.9
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(73.1)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(73.9)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(74.1)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.6,2.7
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(62.4),(72.2)
66,Children under age 3 years breastfed within one hour of birth (%),52.5,67.1
67,Children under age 6 months exclusively breastfed (%),*,*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),(25.2),(20.9)
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet (%),25.5,31.3
72,Children under 5 years who are stunted (height-for-age) (%),17.0,24.1
73,Children under 5 years who are wasted (weight-for-height) (%),11.6,24.6
74,Children under 5 years who are severely wasted (weight-for-height) (%),3.7,7.0
75,Children under 5 years who are underweight (weight-for-age) (%),13.1,21.3
76,Children under 5 years who are overweight (weight-for-height) (%),3.4,1.4
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),8.1,10.6
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),48.5,36.2
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),51.1,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),66.3,44.6
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),57.5,53.6
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,(21.6)
83,All women age 15-49 years who are anaemic (%),56.8,52.5
84,All women age 15-19 years who are anaemic (%),60.5,55.1
85,Women - Blood sugar level - high (141-160 mg/dl)(%),7.0,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),9.1,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),19.1,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),6.6,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),11.8,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),21.0,na
91,Women - Women,,na
92,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.5,na
93,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.5,na
94,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),22.7,na
95,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.0,na
96,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.1,na
97,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),31.1,na
98,Ever undergone a screening test for cervical cancer (%),9.2,na
99,Ever undergone a breast examination for breast cancer (%),5.0,na
100,Ever undergone an oral cavity examination for oral cancer (%),1.9,na
101,Women age 15 years and above who use any kind of tobacco (%),2.1,na
102,Men age 15 years and above who use any kind of tobacco (%),14.0,na
103,Women age 15 years and above who consume alcohol (%),0.3,na
104,Men age 15 years and above who consume alcohol (%),27.3,<s>na</s>
