,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
0,Female population age 6 years and above who ever attended school (%),76.0,67.9,70.1,65.7
1,Population below age 15 years (%),21.1,25.2,24.1,27.4
2,"Sex ratio of the total population (females per 1,000 males)",961,944,948,971
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",978,976,976,923
4,Children under age 5 years whose birth was registered with the civil authority (%),97.8,94.6,95.3,77.4
5,Deaths in the last 3 years registered with the civil authority (%),83.4,73.9,76.2,na
6,Population living in households with electricity (%),99.9,99.0,99.3,97.2
7,Population living in households with an improved drinking-water source (%),98.3,89.6,91.9,89.1
8,Population living in households that use an improved sanitation facility(%),85.6,72.3,75.7,53.8
9,Households using clean fuel for cooking (%),95.8,58.9,69.2,57.5
10,Households using iodized salt (%),99.0,97.7,98.1,95.4
11,Households with any usual member covered under a health insurance/financing scheme (%),19.2,10.2,12.7,4.3
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),4.0,0.9,1.6,na
13,Women who are literate (%),84.3,74.7,77.3,na
14,Men who are literate (%),91.8,91.4,91.5,na
15,Women with 10 or more years of schooling (%),65.1,46.2,51.3,37.1
16,Men with 10 or more years of schooling (%),73.8,66.0,68.2,49.0
17,Women who have ever used the internet (%),55.0,38.9,43.3,na
18,Men who have ever used the internet (%),79.4,68.8,72.0,na
19,Women age 20-24 years married before age 18 years (%),2.0,5.3,4.5,8.7
20,Men age 25-29 years married before age 21 years (%),9.6,8.2,8.5,10.5
21,Total fertility rate (children per woman),1.2,1.5,1.4,2.0
22,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.5,1.1,1.0,3.0
23,Adolescent fertility rate for women age 15-19 years,5,10,9,19
24,Neonatal mortality rate (NNMR),7.5,10.5,9.8,23.1
25,Infant mortality rate (IMR),14.7,16.7,16.3,32.4
26,Under-five mortality rate (U5MR),15.7,19.4,18.5,37.6
27,Any method (%),59.2,60.0,59.8,57.1
28,Any modern method (%),53.5,52.1,52.5,45.8
29,Female sterilization (%),21.6,20.9,21.1,24.4
30,Male sterilization (%),0.4,0.3,0.3,0.4
31,IUD/PPIUD (%),7.2,5.4,5.9,2.4
32,Pill (%),7.7,9.5,9.0,6.3
33,Condom (%),11.6,11.7,11.7,11.3
34,Injectables (%),4.0,3.4,3.6,0.9
35,Total unmet need(%),6.1,8.4,7.8,12.4
36,Unmet need for spacing (%),3.2,4.1,3.9,5.8
37,Health worker ever talked to female non-users about family planning (%),11.6,10.9,11.1,9.6
38,Current users ever told about side effects of current method (%),71.5,61.5,64.0,38.5
39,Mothers who had an antenatal check-up in the first trimester (%),90.0,85.5,86.6,76.7
40,Mothers who had at least 4 antenatal care visits (%),83.1,80.2,80.9,81.2
41,Mothers whose last birth was protected against neonatal tetanus (%),94.4,91.1,91.9,87.3
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),34.0,28.5,29.8,30.2
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),21.6,14.1,15.9,16.7
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.3,97.3,97.3,88.7
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.4,82.6,84.2,74.7
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,680","4,971","5,145","4,225"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,3.5,3.3,1.0
48,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.6,80.2,81.5,na
49,Institutional births (%),98.6,90.5,92.4,85.5
50,Institutional births in public facility (%),87.4,86.6,86.8,77.9
51,Home births that were conducted by skilled health personnel (%),0.6,3.8,3.0,2.2
52,Births attended by skilled health personnel (%),98.8,94.0,95.1,87.4
53,Births delivered by caesarean section (%),54.7,37.8,41.7,33.4
54,Births in a private health facility that were delivered by caesarean section (%),91.0,74.4,82.1,75.5
55,Births in a public health facility that were delivered by caesarean section (%),50.9,40.2,42.7,35.5
56,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),83.0,87.2,86.2,75.0
57,Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),99.8,95.6,96.5,84.4
58,Children age 12-23 months who have received BCG (%),91.0,96.4,95.1,95.6
59,Children age 12-23 months who have received 3 doses of polio vaccine (%),83.0,89.0,87.6,83.8
60,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.0,93.6,92.8,88.1
61,Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),88.7,92.6,91.7,86.1
62,Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),36.5,32.0,33.1,na
63,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),4.0,5.7,5.3,na
64,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),88.0,92.4,91.4,70.1
65,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),86.0,81.2,82.3,69.4
66,Children age 12-23 months who received most of their vaccinations in a public health  facility (%),98.8,99.2,99.1,97.5
67,Children age 12-23 months who received most of their vaccinations in a private health  facility (%),1.2,0.2,0.4,2.2
68,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.4,6.3,5.6,7.6
69,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(81.2),80.7,80.8,69.1
70,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(50.5),50.5,50.5,39.3
71,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(76.1),74.7,74.9,74.2
72,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.9,4.1,3.9,5.5
73,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),63.7,62.1,62.3,78.5
74,Children under age 3 years breastfed within one hour of birth (%),54.9,55.9,55.6,45.7
75,Children under age 6 months exclusively breastfed (%),68.1,59.9,62.0,65.4
76,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(44.3),41.0,41.8,50.2
77,Breastfeeding children age 6-23 months receiving an adequate diet  (%),11.9,12.5,12.4,21.8
78,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(15.0),24.5,22.2,32.0
79,Total children age 6-23 months receiving an adequate diet  (%),12.3,14.0,13.6,23.5
80,Children under 5 years who are stunted (height-for-age) (%),30.1,25.9,26.9,27.4
81,Children under 5 years who are wasted (weight-for-height) (%),17.6,19.4,19.0,12.2
82,Children under 5 years who are severely wasted (weight-for-height) (%),9.6,9.7,9.7,5.6
83,Children under 5 years who are underweight (weight-for-age) (%),19.4,21.5,21.0,16.6
84,Children under 5 years who are overweight (weight-for-height) (%),10.8,9.3,9.6,5.7
85,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),3.7,5.8,5.2,12.2
86,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),2.5,5.0,4.3,11.5
87,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),33.4,27.9,29.3,29.3
88,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),40.8,28.2,31.6,20.5
89,Women who have high risk waist-to-hip ratio (≥0.85) (%),89.2,87.3,87.8,na
90,Men who have high risk waist-to-hip ratio (≥0.90) (%),66.0,58.7,60.7,na
91,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),70.1,73.5,72.7,53.8
92,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),62.5,69.0,67.3,49.0
93,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),44.1,44.1,44.1,46.9
94,All women age 15-49 years who are anaemic (%),61.4,67.5,65.9,48.9
