,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),76.6,74.8
2,Population below age 15 years (%),24.5,26.8
3,"Sex ratio of the total population (females per 1,000 males)",960,"1,019"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",888,917
5,Children under age 5 years whose birth was registered with the civil authority (%),97.1,87.9
6,Deaths in the last 3 years registered with the civil authority (%),81.8,na
7,Population living in households with electricity (%),99.8,99.4
8,Population living in households with an improved drinking-water source (%),95.4,95.7
9,Population living in households that use an improved sanitation facility(%),78.8,46.2
10,Households using clean fuel for cooking (%),73.0,49.6
11,Households using iodized salt (%),98.7,99.2
12,Households with any usual member covered under a health insurance/financing scheme (%),19.0,4.7
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),2.0,na
15,Women who are literate (%),84.8,na
16,Women with 10 or more years of schooling (%),60.6,46.3
18,Women age 20-24 years married before age 18 years (%),6.3,7.9
19,Births in the 5 years preceding the survey that are third or higher order (%),1.5,1.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.3,5.8
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),85.5,60.7
23,Any method (%),62.8,31.2
24,Any modern method (%),50.4,27.4
25,Female sterilization (%),21.0,13.7
26,Male sterilization (%),0.3,0.2
27,IUD/PPIUD (%),6.4,0.5
28,Pill (%),6.9,1.8
29,Condom (%),14.1,11.1
30,Injectables (%),1.3,0.2
32,Total unmet need(%),9.5,20.7
33,Unmet need for spacing (%),4.2,7.4
35,Health worker ever talked to female non-users about family planning (%),7.2,8.0
36,Current users ever told about side effects of current method (%),63.6,(32.4)
38,Mothers who had an antenatal check-up in the first trimester (%),86.6,71.9
39,Mothers who had at least 4 antenatal care visits (%),96.2,76.7
40,Mothers whose last birth was protected against neonatal tetanus (%),84.5,75.1
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),46.5,47.3
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),24.4,34.7
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,86.8
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.3,78.7
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,149","4,551"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(4.7)
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.6,na
51,Institutional births (%),97.9,85.8
52,Institutional births in public facility (%),91.3,77.5
53,Home births that were conducted by skilled health personnel (%),1.2,1.4
54,Births attended by skilled health personnel (%),99.0,89.8
55,Births delivered by caesarean section (%),37.5,27.5
56,Births in a private health facility that were delivered by caesarean section (%),*,(63.6)
57,Births in a public health facility that were delivered by caesarean section (%),35.9,28.7
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),90.9,68.7
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(97.8),(80.6)
62,Children age 12-23 months who have received BCG (%),98.0,84.1
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),90.9,73.7
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.0,76.2
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),94.0,80.8
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),21.9,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),91.9,36.5
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),73.5,41.2
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,96.0
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,2.0
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.7,7.0
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.2,3.6
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(69.8),78.5
