,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),65.5,62.5
2,Population below age 15 years (%),22.4,26.1
3,"Sex ratio of the total population (females per 1,000 males)",974,999
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,177",860
5,Children under age 5 years whose birth was registered with the civil authority (%),98.6,66.0
6,Deaths in the last 3 years registered with the civil authority (%),86.8,na
7,Population living in households with electricity (%),98.7,96.6
8,Population living in households with an improved drinking-water source (%),99.3,95.8
9,Population living in households that use an improved sanitation facility(%),84.7,56.9
10,Households using clean fuel for cooking (%),76.5,70.0
11,Households using iodized salt (%),98.3,97.4
12,Households with any usual member covered under a health insurance/financing scheme (%),7.3,2.6
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0,na
15,Women who are literate (%),74.7,na
16,Women with 10 or more years of schooling (%),52.8,30.9
18,Women age 20-24 years married before age 18 years (%),2.5,4.5
19,Births in the 5 years preceding the survey that are third or higher order (%),0.5,1.1
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.7,1.1
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),74.2,65.6
23,Any method (%),58.3,54.0
24,Any modern method (%),57.3,37.9
25,Female sterilization (%),15.3,15.2
26,Male sterilization (%),0.0,0.4
27,IUD/PPIUD (%),4.8,2.4
28,Pill (%),8.1,12.1
29,Condom (%),20.2,7.6
30,Injectables (%),7.5,0.3
32,Total unmet need(%),7.8,12.2
33,Unmet need for spacing (%),4.3,4.7
35,Health worker ever talked to female non-users about family planning (%),18.8,3.4
36,Current users ever told about side effects of current method (%),72.0,23.4
38,Mothers who had an antenatal check-up in the first trimester (%),82.0,76.7
39,Mothers who had at least 4 antenatal care visits (%),80.9,82.5
40,Mothers whose last birth was protected against neonatal tetanus (%),97.8,89.0
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),32.5,11.7
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),20.9,6.6
