,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),62.9,64.2
1,Population below age 15 years (%),24.8,26.0
2,"Sex ratio of the total population (females per 1,000 males)",955,925
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",952,872
4,Children under age 5 years whose birth was registered with the civil authority (%),93.8,79.5
5,Deaths in the last 3 years registered with the civil authority (%),61.8,na
6,Population living in households with electricity (%),98.7,99.9
7,Population living in households with an improved drinking-water source (%),93.3,92.7
8,Population living in households that use an improved sanitation facility(%),77.7,63.1
9,Households using clean fuel for cooking (%),76.5,70.6
10,Households using iodized salt (%),99.1,98.5
11,Households with any usual member covered under a health insurance/financing scheme (%),6.5,0.6
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.2,na
13,Women who are literate (%),67.9,na
14,Women with 10 or more years of schooling (%),35.9,34.7
15,Women age 20-24 years married before age 18 years (%),3.8,3.6
16,Births in the 5 years preceding the survey that are third or higher order (%),1.9,0.6
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.0,1.4
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),62.0,76.9
19,Any method (%),31.1,58.6
20,Any modern method (%),28.2,45.6
21,Female sterilization (%),14.1,24.5
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),2.1,3.9
24,Pill (%),5.0,6.7
25,Condom (%),4.5,9.4
26,Injectables (%),1.6,1.1
27,Total unmet need(%),15.7,11.0
28,Unmet need for spacing (%),7.4,5.8
29,Health worker ever talked to female non-users about family planning (%),11.9,5.0
30,Current users ever told about side effects of current method (%),55.9,35.8
31,Mothers who had an antenatal check-up in the first trimester (%),84.0,86.8
32,Mothers who had at least 4 antenatal care visits (%),75.2,95.2
33,Mothers whose last birth was protected against neonatal tetanus (%),88.2,94.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),22.4,31.0
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),13.1,13.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.0,90.3
37,days of delivery (%),80.1,81.8
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"9,853","3,607"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),76.0,na
41,Institutional births (%),96.2,93.8
42,Institutional births in public facility (%),86.8,83.1
43,Home births that were conducted by skilled health personnel (%),1.8,0.7
44,Births attended by skilled health personnel (%),97.0,91.1
45,Births delivered by caesarean section (%),51.1,41.5
46,Births in a private health facility that were delivered by caesarean section (%),(85.1),(86.8)
47,Births in a public health facility that were delivered by caesarean section (%),49.6,38.8
48,mother's recall (%),73.7,78.6
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),98.2,92.8
50,Children age 12-23 months who have received BCG (%),91.5,97.4
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),76.6,84.0
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.2,93.0
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),84.1,93.4
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),24.7,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),4.2,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),86.0,79.7
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),83.4,77.8
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.8,98.5
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.7,1.6
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),9.9,3.5
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(57.0),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(42.2),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(69.1),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.8,3.3
65,provider (%),70.3,(84.1)
66,Children under age 3 years breastfed within one hour of birth (%),54.4,53.4
67,Children under age 6 months exclusively breastfed (%),(68.5),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),19.8,30.1
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),19.9,33.5
72,Children under 5 years who are stunted (height-for-age) (%),23.2,28.6
73,Children under 5 years who are wasted (weight-for-height) (%),18.2,14.5
74,Children under 5 years who are severely wasted (weight-for-height) (%),8.8,7.8
75,Children under 5 years who are underweight (weight-for-age) (%),17.3,12.8
76,Children under 5 years who are overweight (weight-for-height) (%),8.0,13.4
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.6,14.4
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),31.1,24.5
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),78.3,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),70.4,63.6
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),73.1,55.6
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(56.0),(54.1)
83,All women age 15-49 years who are anaemic (%),72.5,55.6
84,All women age 15-19 years who are anaemic (%),75.3,61.6
85,Blood sugar level - high (141-160 mg/dl)(%),4.5,na
86,Blood sugar level - very high (>160 mg/dl)(%),3.8,na
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.0,na
88,Blood sugar level - high (141-160 mg/dl)(%),3.8,na
89,Blood sugar level - very high (>160 mg/dl) (%),3.3,na
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.3,na
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.6,na
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.9,na
93,blood pressure (%),23.7,na
