State,Agency,Households,Women,Men
Gujarat,Centre for Operations Research and Training (CORT) and TALEEM Research Foundation,29368,33343,5351
Himachal Pradesh,"Population Research Centre, Himachal Pradesh University, Shimla",10698,10368,1477
Punjab,Society for Promotion of Youth and Masses (SPYM),18824,21771,3296
Haryana,Society for Promotion of Youth and Masses (SPYM),18229,21909,3224
Uttarakhand,Research and Development Initiative (RDI) Pvt. Ltd,12169,13280,1586
Uttar Pradesh,Academy of Management Studies (AMS) and Research and Development Initiative (RDI) Pvt. Ltd,70710,93124,12043
Madhya Pradesh,Development and Research Services Pvt. Ltd. (DRS) and Indian Institute of Development Management (IIDM),43552,48410,7025
Rajasthan,Indian Institute of Health Management Research (IIHMR),31817,42990,6353
Bihar,Development and Research Services Pvt. Ltd. (DRS),35834,42483,4897
Chhattisgarh,Development and Research Services Pvt. Ltd. (DRS),24550,28468,4174
Jharkhand,Development and Research Services Pvt. Ltd. (DRS),22863,26495,3414
Odisha,Indian Institute of Health Management Research (IIHMR),26467,27971,3865
Maharashtra,Indian Institute of Health Management Research (IIHMR) and TRIOs Development Support (P) Ltd,31643,33755,5497
Telangana,Karvy Data Management Services Ltd,27351,27518,3863
Andhra Pradesh,Sigma Research and Consulting Pvt. Ltd,11346,10975,1558
Goa,Nielsen India Pvt. Ltd,1856,2030,313
Karnataka,Nielsen India Pvt. Ltd,26574,30455,4516
Tamil Nadu,"School of Public Health, SRM University",27929,25650,3372
Kerala,Society for Promotion of Youth and Masses (SPYM),12330,10969,1473
West Bengal,Indian Institute of Health Management Research (IIHMR),18187,21408,3021
Sikkim,Karvy Data Management Services Ltd,3516,3271,469
Arunachal Pradesh,Ipsos Research Pvt. Ltd,18268,19765,2881
Assam,Nielsen India Pvt. Ltd,30119,34979,4973
Manipur,Research and Development Initiative (RDI) Pvt. Ltd,7881,8042,1162
Mizoram,IQVIA Consulting and Information Services India Pvt. Ltd,7257,7279,1105
Meghalaya,IQVIA Consulting and Information Services India Pvt. Ltd,10148,13089,1824
Nagaland,Research and Development Initiative (RDI) Pvt. Ltd,10112,9694,1456
Tripura,Indian Institute of Health Management Research (IIHMR),7209,7314,990
NCT Delhi,"Population Research Centre (PRC), Institute of Economic Growth (IEG)",9486,11159,1700
Andaman & Nicobar Islands,Sigma Research and Consulting Pvt. Ltd,2624,2397,367
Dadra & Nagar Haveli and Daman & Diu,Centre for Operations Research and Training (CORT),2676,2713,427
Jammu & Kashmir,Karvy Data Management Services Ltd,18086,23037,3087
Ladakh,Karvy Data Management Services Ltd,1818,2355,307
Puducherry,"School of Public Health, SRM University",3520,3669,534
Chandigarh,Society for Promotion of Youth and Masses (SPYM),761,746,104
Lakshadweep,Society for Promotion of Youth and Masses (SPYM),921,1234,135
