Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Population and Household Profile,,Urban  Rural,Total,Total
Female population age 6 years and above who ever attended school (%),83.1,69.1,71.5,67.8
Population below age 15 years (%),22.0,25.6,24.9,26.6
"Sex ratio of the total population (females per 1,000 males)","1,010","1,074","1,063","1,036"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",950,885,894,932
Children under age 5 years whose birth was registered with the civil authority (%),95.2,90.0,90.8,82.1
Deaths in the last 3 years registered with the civil authority (%),80.1,67.8,69.8,na
Population living in households with electricity (%),99.1,96.6,97.0,86.6
Population living in households with an improved drinking-water source (%),97.3,89.8,91.1,89.1
Population living in households that use an improved sanitation facility(%),72.3,58.0,60.5,30.0
Households using clean fuel for cooking (%),76.9,26.1,34.7,19.2
Households using iodized salt (%),99.5,97.7,98.0,93.0
Households with any usual member covered under a health insurance/financing scheme (%),29.5,51.7,47.9,47.7
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.5,11.2,10.8,na
Women who are literate (%),81.9,66.7,69.5,na
Men who are literate (%),88.8,83.4,84.6,na
Women with 10 or more years of schooling (%),47.9,29.6,33.0,26.7
Men with 10 or more years of schooling (%),46.0,36.6,38.6,37.1
Women who have ever used the internet (%),39.7,21.3,24.9,na
Men who have ever used the internet (%),64.2,47.2,50.7,na
Women age 20-24 years married before age 18 years (%),14.5,21.7,20.5,21.3
Men age 25-29 years married before age 21 years (%),7.8,14.8,13.3,11.0
Total fertility rate (children per woman),1.5,1.9,1.8,2.1
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.1,7.9,7.6,7.6
Adolescent fertility rate for women age 15-19 years,27,43,40,46
Neonatal mortality rate (NNMR),24.6,27.5,27.0,28.2
Infant mortality rate (IMR),31.2,37.2,36.3,39.6
Under-five mortality rate (U5MR),32.0,42.7,41.1,48.1
Any method (%),76.9,73.6,74.1,57.3
Any modern method (%),47.2,49.1,48.8,45.4
Female sterilization (%),24.4,28.8,28.0,28.2
Male sterilization (%),0.2,0.3,0.3,0.2
IUD/PPIUD (%),2.3,2.6,2.6,1.1
