,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),84.4,79.7
2,Population below age 15 years (%),22.2,24.6
3,"Sex ratio of the total population (females per 1,000 males)","1,024",980
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",810,965
5,Children under age 5 years whose birth was registered with the civil authority (%),97.0,88.3
6,Deaths in the last 3 years registered with the civil authority (%),84.4,na
7,Population living in households with electricity (%),99.5,96.8
8,Population living in households with an improved drinking-water source (%),94.6,84.7
9,Population living in households that use an improved sanitation facility(%),73.2,48.3
10,Households using clean fuel for cooking (%),63.3,46.2
11,Households using iodized salt (%),99.7,94.5
12,Households with any usual member covered under a health insurance/financing scheme (%),43.2,38.0
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),11.6,na
15,Women who are literate (%),84.9,na
16,Women with 10 or more years of schooling (%),43.2,38.3
18,Women age 20-24 years married before age 18 years (%),17.1,18.1
19,Births in the 5 years preceding the survey that are third or higher order (%),0.0,1.4
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.3,8.1
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),93.5,70.0
23,Any method (%),74.7,64.4
24,Any modern method (%),42.4,48.8
25,Female sterilization (%),24.5,25.4
26,Male sterilization (%),0.4,0.1
27,IUD/PPIUD (%),2.0,1.3
28,Pill (%),5.6,16.0
29,Condom (%),8.4,4.7
30,Injectables (%),0.3,0.9
32,Total unmet need(%),7.4,12.6
33,Unmet need for spacing (%),1.7,3.5
35,Health worker ever talked to female non-users about family planning (%),28.9,20.1
36,Current users ever told about side effects of current method (%),73.8,65.2
39,Mothers who had an antenatal check-up in the first trimester (%),85.1,67.9
40,Mothers who had at least 4 antenatal care visits (%),91.0,60.5
41,Mothers whose last birth was protected against neonatal tetanus (%),98.4,94.9
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),71.7,34.0
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),53.6,5.9
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,98.1
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),95.4,70.9
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,081","4,790"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(0.0)
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.6,na
52,Institutional births (%),97.8,85.1
53,Institutional births in public facility (%),70.6,64.7
