,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),84.7,80.0
1,Population below age 15 years (%),20.4,21.0
2,"Sex ratio of the total population (females per 1,000 males)","1,095","1,070"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",843,929
4,Children under age 5 years whose birth was registered with the civil authority (%),95.8,86.6
5,Deaths in the last 3 years registered with the civil authority (%),57.7,na
6,Population living in households with electricity (%),98.2,93.5
7,Population living in households with an improved drinking-water source (%),99.5,97.3
8,Population living in households that use an improved sanitation facility(%),60.1,32.0
9,Households using clean fuel for cooking (%),30.5,12.8
10,Households using iodized salt (%),98.2,99.2
11,Households with any usual member covered under a health insurance/financing scheme (%),56.8,51.2
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),15.4,na
13,Women who are literate (%),84.8,na
14,Women with 10 or more years of schooling (%),46.6,38.2
15,Women age 20-24 years married before age 18 years (%),12.0,9.7
16,Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.4
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.6,1.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),92.8,58.4
19,Any method (%),71.9,63.8
20,Any modern method (%),38.8,45.2
21,Female sterilization (%),22.0,27.2
22,Male sterilization (%),0.0,0.3
23,IUD/PPIUD (%),2.1,1.6
24,Pill (%),6.8,9.3
25,Condom (%),7.3,6.3
26,Injectables (%),0.5,0.5
27,Total unmet need(%),11.5,13.9
28,Unmet need for spacing (%),3.5,2.9
29,Health worker ever talked to female non-users about family planning (%),13.5,27.0
30,Current users ever told about side effects of current method (%),56.5,71.0
31,Mothers who had an antenatal check-up in the first trimester (%),71.6,76.8
32,Mothers who had at least 4 antenatal care visits (%),82.6,80.4
33,Mothers whose last birth was protected against neonatal tetanus (%),95.4,97.3
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),64.3,46.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),33.7,10.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.2,97.7
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),89.2,92.6
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,897","4,870"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),92.1,na
41,Institutional births (%),98.3,97.6
42,Institutional births in public facility (%),79.1,85.7
43,Home births that were conducted by skilled health personnel (%),0.0,0.0
44,Births attended by skilled health personnel (%),96.7,96.4
45,Births delivered by caesarean section (%),42.2,19.7
46,Births in a private health facility that were delivered by caesarean section (%),(83.8),(56.9)
47,Births in a public health facility that were delivered by caesarean section (%),33.0,15.1
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),(91.3),85.7
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(92.9),(97.9)
50,Children age 12-23 months who have received BCG (%),(100.0),96.2
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(93.4),87.4
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(97.9),92.7
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(97.9),96.2
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(42.1),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(89.4),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(97.9),87.8
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),90.6,88.4
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),100.0
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),0.0
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.0,7.9
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),7.1,3.6
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(68.9),83.2
66,Children under age 3 years breastfed within one hour of birth (%),68.8,67.9
67,Children under age 6 months exclusively breastfed (%),*,*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),31.0,13.8
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet (%),31.2,13.0
72,Children under 5 years who are stunted (height-for-age) (%),13.2,19.5
73,Children under 5 years who are wasted (weight-for-height) (%),10.7,12.6
74,Children under 5 years who are severely wasted (weight-for-height) (%),5.6,4.4
75,Children under 5 years who are underweight (weight-for-age) (%),11.0,16.5
76,Children under 5 years who are overweight (weight-for-height) (%),8.3,5.5
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),12.9,17.3
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),35.5,25.7
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),64.2,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),58.2,23.4
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),60.4,36.1
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,(27.5)
83,All women age 15-49 years who are anaemic (%),59.8,35.8
84,All women age 15-19 years who are anaemic (%),60.9,38.9
85,Women - Blood sugar level - high (141-160 mg/dl)(%),6.6,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),9.1,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.9,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),7.5,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),11.6,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),21.4,na
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.8,na
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.1,na
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),26.2,na
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),19.4,na
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.4,na
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),30.2,na
97,Ever undergone a screening test for cervical cancer (%),1.6,na
98,Ever undergone a breast examination for breast cancer (%),0.5,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.3,na
100,Women age 15 years and above who use any kind of tobacco (%),25.7,na
101,Men age 15 years and above who use any kind of tobacco (%),51.1,na
102,Women age 15 years and above who consume alcohol (%),0.4,na
103,Men age 15 years and above who consume alcohol (%),19.1,na
