Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),69.3,64.9
Population below age 15 years (%),23.9,28.1
"Sex ratio of the total population (females per 1,000 males)","1,056","1,033"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",919,"1,058"
Children under age 5 years whose birth was registered with the civil authority (%),93.3,72.5
Deaths in the last 3 years registered with the civil authority (%),74.3,na
Population living in households with electricity (%),97.8,84.5
Population living in households with an improved drinking-water source (%),92.9,93.7
Population living in households that use an improved sanitation facility(%),66.3,14.5
Households using clean fuel for cooking (%),32.6,9.2
Households using iodized salt (%),98.2,98.7
Households with any usual member covered under a health insurance/financing scheme (%),44.0,50.1
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(9.0),na
Women who are literate (%),68.1,na
Women with 10 or more years of schooling (%),31.4,21.6
Women age 20-24 years married before age 18 years (%),14.0,14.7
Births in the 5 years preceding the survey that are third or higher order (%),0.7,0.5
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.7,3.9
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),82.4,33.1
Any method (%),77.8,65.3
Any modern method (%),58.6,50.6
Female sterilization (%),34.9,33.0
Male sterilization (%),0.1,0.0
IUD/PPIUD (%),2.9,0.9
Pill (%),15.1,14.5
Condom (%),3.6,1.9
Injectables (%),0.2,0.0
Total unmet need(%),3.4,8.0
Unmet need for spacing (%),1.8,3.2
Health worker ever talked to female non-users about family planning (%),30.8,33.1
Current users ever told about side effects of current method (%),84.9,70.3
Mothers who had an antenatal check-up in the first trimester (%),89.1,73.7
Mothers who had at least 4 antenatal care visits (%),95.4,76.5
Mothers whose last birth was protected against neonatal tetanus (%),97.1,99.2
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),83.0,49.1
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),54.4,1.4
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,100.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),96.5,78.5
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,128","4,989"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(10.3)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),94.0,na
Institutional births (%),97.9,87.1
Institutional births in public facility (%),90.9,84.9
