,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),64.8,66.5
2,Population below age 15 years (%),32.7,37.0
3,"Sex ratio of the total population (females per 1,000 males)","1,005","1,034"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",886,962
5,Children under age 5 years whose birth was registered with the civil authority (%),77.1,63.2
6,Deaths in the last 3 years registered with the civil authority (%),40.5,na
7,Population living in households with electricity (%),98.5,66.9
8,Population living in households with an improved drinking-water source (%),99.8,99.9
9,Population living in households that use an improved sanitation facility(%),52.4,29.4
10,Households using clean fuel for cooking (%),44.7,23.3
11,Households using iodized salt (%),93.5,98.4
12,Households with any usual member covered under a health insurance/financing scheme (%),11.4,10.9
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),18.3,na
15,Women who are literate (%),68.1,na
16,Women with 10 or more years of schooling (%),33.3,31.1
18,Women age 20-24 years married before age 18 years (%),30.8,37.5
19,Births in the 5 years preceding the survey that are third or higher order (%),5.8,4.5
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.2,5.5
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),56.6,30.1
23,Any method (%),60.5,35.0
24,Any modern method (%),44.6,33.3
25,Female sterilization (%),35.1,29.8
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),1.0,0.5
28,Pill (%),2.4,0.8
29,Condom (%),3.8,1.5
30,Injectables (%),1.4,0.6
32,Total unmet need(%),9.1,17.2
33,Unmet need for spacing (%),3.4,6.2
35,Health worker ever talked to female non-users about family planning (%),31.4,11.8
36,Current users ever told about side effects of current method (%),67.3,37.1
39,Mothers who had an antenatal check-up in the first trimester (%),61.5,46.5
40,Mothers who had at least 4 antenatal care visits (%),27.4,23.3
41,Mothers whose last birth was protected against neonatal tetanus (%),93.4,93.8
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),21.1,9.2
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),9.8,4.8
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),92.2,80.4
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),66.9,58.1
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,686","1,357"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(2.2),3.9
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),68.3,na
52,Institutional births (%),89.5,81.6
53,Institutional births in public facility (%),50.9,52.4
54,Home births that were conducted by skilled health personnel (%),2.8,3.7
55,Births attended by skilled health personnel (%),90.6,83.6
56,Births delivered by caesarean section (%),7.7,6.5
57,Births in a private health facility that were delivered by caesarean section (%),19.1,18.5
58,Births in a public health facility that were delivered by caesarean section (%),0.7,2.1
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),75.0,63.9
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),81.7,74.0
63,Children age 12-23 months who have received BCG (%),97.3,89.6
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),75.0,74.9
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.5,82.6
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),90.5,77.2
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),35.7,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),6.3,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),89.6,69.5
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),50.4,67.9
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),90.4,93.5
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),6.4,6.5
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),10.4,6.4
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),49.2,(62.9)
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),26.8,(12.8)
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),87.2,(35.5)
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.7,3.4
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),81.6,59.0
